,URL,ID,Name,Company code,Marketcap,Share price,Earnings,Revenue,Shares,Employees,Category,Hash
0,https://companiesmarketcap.com/vertex-pharmaceuticals/marketcap/,1.0,Vertex Pharmaceuticals,VRTX,$77.24 B,$300.94,$4.08 B,$8.70 B,256.500.000,3.9,Retail,2932210656109287952
1,https://companiesmarketcap.com/vertex-pharmaceuticals/marketcap/,1.0,Vertex Pharmaceuticals,VRTX,$77.24 B,$300.94,$4.08 B,$8.70 B,256.500.000,3.9,Dowjones,-3512652547975320346
2,https://companiesmarketcap.com/vertex-pharmaceuticals/marketcap/,1.0,Vertex Pharmaceuticals,VRTX,$77.24 B,$300.94,$4.08 B,$8.70 B,256.500.000,3.9,SupermarketChains,-4069439822336842578
3,https://companiesmarketcap.com/verano-holdings/marketcap/,2.0,Verano Holdings,VRNOF,$0.97 B,$3.00,-$62.2 M,$0.81 B,,3.888,ECommerce,5458971525214020641
4,https://companiesmarketcap.com/verano-holdings/marketcap/,2.0,Verano Holdings,VRNOF,$0.97 B,$3.00,-$62.2 M,$0.81 B,,3.888,Internet,-848597773130649638
5,https://companiesmarketcap.com/verano-holdings/marketcap/,2.0,Verano Holdings,VRNOF,$0.97 B,$3.00,-$62.2 M,$0.81 B,,3.888,Tech,5392941245537608590
6,https://companiesmarketcap.com/verano-holdings/marketcap/,2.0,Verano Holdings,VRNOF,$0.97 B,$3.00,-$62.2 M,$0.81 B,,3.888,Retail,2932210656109287952
7,https://companiesmarketcap.com/azz/marketcap/,3.0,AZZ,AZZ,$1.09 B,$43.85,$0.12 B,$1.17 B,,3.885,Courier,3896409760083245788
8,https://companiesmarketcap.com/azz/marketcap/,3.0,AZZ,AZZ,$1.09 B,$43.85,$0.12 B,$1.17 B,,3.885,Transportation,-2725400413481745490
9,https://companiesmarketcap.com/fnb-corp/marketcap/,4.0,F.N.B. Corporation,FNB,$4.83 B,$13.41,$0.50 B,$1.33 B,,3.884,Retail,2932210656109287952
10,https://companiesmarketcap.com/fnb-corp/marketcap/,4.0,F.N.B. Corporation,FNB,$4.83 B,$13.41,$0.50 B,$1.33 B,,3.884,SupermarketChains,-4069439822336842578
11,https://companiesmarketcap.com/quanex-building-products/marketcap/,5.0,Quanex Building Products,NX,$0.82 B,$24.96,$0.10 B,$1.22 B,,3.86,Retail,2932210656109287952
12,https://companiesmarketcap.com/quanex-building-products/marketcap/,5.0,Quanex Building Products,NX,$0.82 B,$24.96,$0.10 B,$1.22 B,,3.86,Dowjones,-3512652547975320346
13,https://companiesmarketcap.com/sensient-technologies/marketcap/,6.0,Sensient Technologies,SXT,$3.27 B,$77.99,$0.18 B,$1.42 B,,3.844,Retail,2932210656109287952
14,https://companiesmarketcap.com/sensient-technologies/marketcap/,6.0,Sensient Technologies,SXT,$3.27 B,$77.99,$0.18 B,$1.42 B,,3.844,SupermarketChains,-4069439822336842578
15,https://companiesmarketcap.com/cts-corporation/marketcap/,7.0,CTS Corporation,CTS,$1.47 B,$46.31,$76.74 M,$0.57 B,,3.82,Beverages,-5284870312286199973
16,https://companiesmarketcap.com/amn-healthcare-services/marketcap/,8.0,AMN Healthcare Services,AMN,$4.50 B,$103.86,$0.69 B,$5.48 B,,3.8,Investment,-3683647381629899485
17,https://companiesmarketcap.com/ashland/marketcap/,9.0,Ashland,ASH,$6.09 B,$112.25,$0.26 B,$2.39 B,54.000.000,3.8,Healthcare,1473658128705581606
18,https://companiesmarketcap.com/ashland/marketcap/,9.0,Ashland,ASH,$6.09 B,$112.25,$0.26 B,$2.39 B,54.000.000,3.8,Insurance,-2611088800210967206
19,https://companiesmarketcap.com/ashland/marketcap/,9.0,Ashland,ASH,$6.09 B,$112.25,$0.26 B,$2.39 B,54.000.000,3.8,Dowjones,-3512652547975320346
