"Company","Headquarters","Served countries (besides the headquarters)"
"7-Eleven","23x15px Japan 23x15px USA","Australia, Canada, China (Hong Kong and Macau), Denmark, Indonesia, Malaysia, Mexico, Norway, Philippines, Singapore, South Korea, Sweden, Taiwan, Thailand"
"Ahold","23x15px Netherlands","Czech Republic, Netherlands, Scandinavia, Spain, USA, Belgium, Germany"
"Aldi","23x15px Germany","Australia, Austria (branded as Hofer), Belgium, Denmark, France, Greece, Hungary, Ireland, Luxembourg, Netherlands, Poland, Portugal, Slovenia (branded as Hofer), Spain, Switzerland, UK, USA"
"Auchan","23x15px France","China, Hungary, Italy, Luxembourg, Poland, Portugal, Russia, San Marino, Spain, Taiwan, Ukraine"
"Big C","23x15px Thailand","Laos, Vietnam"
"Billa","23x15px Austria","Bulgaria, Croatia, Czech Republic, Romania, Russia, Slovakia, Ukraine"
"BİM","23x15px Turkey","Morocco, Egypt"
"Carrefour","23x15px France","Albania, Argentina, Armenia, Bahrain, Belgium, Brazil, Bulgaria, China, Cyprus, Dominican Republic, Egypt, Greece, Iran, Italy, Jordan, Kuwait, Pakistan (""Hyper Star""), Poland, Qatar, Macedonia, Romania, Saudi Arabia, Slovakia, Spain, Taiwan, The Bahamas, Tunisia, Turkey, UAE"
"CBA","23x15px Hungary","Bulgaria, Croatia, Czech Republic, Lithuania, Poland, Romania, Serbia, Slovakia"
"Cencosud","23x15px Chile","Argentina, Brazil, Colombia, Peru"
"Chedraui","23x15px Mexico","USA"
"Conad","23x15px Italy","Albania, China, Kosovo, Malta, San Marino"
"Coop","23x16px Switzerland","Liechtenstein"
"Coop Italia","23x15px Italy","San Marino"
"Coop Norden","23x15px Denmark 23x15px Norway 23x15px Sweden",""
"Cora","23x15px Belgium","France, Luxembourg, Romania"
"Costco","23x15px USA","Australia, Canada, Japan, Mexico, South Korea, Spain, Taiwan, UK"
"Crai","23x15px Italy","Albania, Malta, San Marino, Switzerland"
"Delhaize Group","23x15px Belgium","Greece, Indonesia, Luxembourg, Romania, Serbia, USA"
"Denner","23x16px Switzerland","Liechtenstein"
"Dunnes","23x15px Ireland","Spain, UK"
"Eataly","23x15px Italy","Brazil, Japan, South Korea, Turkey, United Arab Emirates, USA"
"E.Leclerc","23x15px France","Andorra, Poland, Portugal, Réunion, Slovenia, Spain"
"E-mart","23x15px South Korea","China"
"Eurospin","23x15px Italy","Slovenia"
"Famila","23x15px Germany 23x15px Italy","Netherlands"
"Four Square supermarkets","23x15px New Zealand","Australia"
"H-E-B","23x15px USA","Mexico"
"Intermarché","23x15px France","Poland, Portugal, Belgium"
"Isetan","23x15px Japan","China, Malaysia, Singapore, Taiwan, Thailand"
"Ito-Yokado","23x15px Japan","China"
"Jeronimo Martins","23x15px Portugal","Colombia, Portugal"
"JUSCO","23x15px Japan","China (mainland and Hong Kong), Malaysia, Taiwan"
"Kaufland","23x15px Germany","Bulgaria, Croatia, Czech Republic, Montenegro, Poland, Romania, Slovakia."
"Konzum","23x15px Croatia","Bosnia and Herzegovina, Serbia"
