"Parent (Owner)","Parent Country","Make","Make Country"
"Fiat Chrysler Automobiles","23x15px Italy/23x15px United States","Abarth","23x15px Italy"
"Honda","23x15px Japan","Acura","23x15px Japan"
"Fiat Chrysler Automobiles","23x15px Italy/23x15px United States","Alfa Romeo","23x15px Italy"
"Renault","23x15px France","Alpine","23x15px France"
"General Motors","23x15px United States","Alpheon","23x15px South Korea"
"Aston Martin","23x15px United Kingdom","Aston Martin","23x15px United Kingdom"
"Volkswagen Group","23x15px Germany","Audi","23x15px Germany"
"SAIC-GM-Wuling","23x15px China/23x15px United States","Baojun","23x15px China"
"Volkswagen Group","23x15px Germany","Bentley","23x15px United Kingdom"
"BMW","23x15px Germany","BMW","23x15px Germany"
"Brilliance","23x15px China","Brilliance","23x15px China"
"Volkswagen Group","23x15px Germany","Bugatti","23x15px France"
"General Motors","23x15px United States","Buick","23x15px United States"
"BYD","23x15px China","BYD","23x15px China"
"General Motors","23x15px United States","Cadillac","23x15px United States"
"Caterham","23x15px United Kingdom","Caterham","23x15px United Kingdom"
"Chang'an","23x15px China","Chang'an","23x15px China"
"General Motors","23x15px United States","Chevrolet","23x15px United States"
"Fiat Chrysler Automobiles","23x15px Italy/23x15px United States","Chrysler","23x15px United States"
"PSA Peugeot Citroën","23x15px France","Citroën","23x15px France"
"Renault","23x15px France","Dacia","23x15px Romania"
"Toyota","23x15px Japan","Daihatsu","23x15px Japan"
"Nissan","23x15px Japan","Datsun","23x15px Japan"
"Fiat Chrysler Automobiles","23x15px Italy/23x15px United States","Dodge","23x15px United States"
"Dongfeng","23x15px China","Dongfeng","23x15px China"
"PSA Peugeot Citroën","23x15px France","DS","23x15px France"
"Dongfeng","23x15px China","Fengshen","23x15px China"
"Fiat Chrysler Automobiles","23x15px Italy/23x15px United States","Ferrari","23x15px Italy"
"Fiat Chrysler Automobiles","23x15px Italy/23x15px United States","Fiat","23x15px Italy"
"Wanxiang","23x15px China","Fisker","23x15px United States"
"Ford","23x15px United States","Ford","23x15px United States"
"Geely","23x15px China","Geely","23x15px China"
"Hyundai Motor Group","23x15px South Korea","Genesis","23x15px South Korea"
"General Motors","23x15px United States","GMC","23x15px United States"
"Toyota","23x15px Japan","Hino Motors","23x15px Japan"
"General Motors","23x15px United States","Holden (HSV)","23x15px Australia"
"Honda","23x15px Japan","Honda","23x15px Japan"
"Hyundai Motor Group","23x15px South Korea","Hyundai","23x15px South Korea"
"Nissan","23x15px Japan","Infiniti","23x15px Japan"
"Isuzu Motors","23x15px Japan","Isuzu","23x15px Japan"
"Tata Motors","23x15px India","Jaguar","23x15px United Kingdom"
"Fiat Chrysler Automobiles","23x15px Italy/23x15px United States","Jeep","23x15px United States"
"FAW Jie Fang / FAW-GM","23x15px China/23x15px United States","Jie Fang","23x15px China"
"Kantanka Group Conglomerate","23x15px Ghana","Kantanka","23x15px Ghana"
"Koenigsegg","23x15px Sweden","Koenigsegg","23x15px Sweden"
"Hyundai Motor Group","23x15px South Korea","Kia","23x15px South Korea"
