"Company","Headquarters","Country","Notes"
"Argentina Sono Film","Buenos Aires","Argentina",""
"Aleph Producciones","Buenos Aires","Argentina",""
"BD Cine","Buenos Aires","Argentina",""
"Guacamole Films","Buenos Aires","Argentina",""
"Patagonik Film Group","Buenos Aires","Argentina",""
"Pol-ka","Buenos Aires","Argentina",""
"Efftee Studios","Sydney, New South Wales","Australia","Originally founded in Melbourne. Defunct in 1935."
"Fox Studios Australia","Sydney, New South Wales","Australia","Parent is 21st Century Fox"
"Rising Sun Pictures","Adelaide, South Australia","Australia",""
"Village Roadshow","South Yarra, Victoria","Australia",""
"Village Roadshow Studios","Gold Coast, Queensland","Australia","Parent is Village Roadshow"
"Working Dog Productions","Melbourne, Victoria","Australia",""
"Jaaz Multimedia","Dhaka","Bangladesh",""
"Monsoon Films","Dhaka","Bangladesh",""
"Impress Telefilm Limited","Dhaka","Bangladesh",""
"Belarusfilm","Minsk","Belarus",""
"Globo Filmes","Rio de Janeiro","Brazil",""
"Studio 100","Schelle","Belgium",""
"Nu Boyana Film Studios","Sofia","Bulgaria",""
"Atopia","Montreal, Quebec","Canada",""
"Bleeding Art Industries","Calgary, Alberta","Canada",""
"Breakthrough Entertainment","Toronto, Ontario","Canada",""
"The Bridge Studios","Burnaby, British Columbia","Canada",""
"Brightlight Pictures","Vancouver, British Columbia","Canada",""
"CaribbeanTales","Toronto, Ontario","Canada",""
"Cloud Ten Pictures","St. Catharines, Ontario","Canada",""
"Entertainment One Films Canada","Toronto, Ontario","Canada",""
"Image Diffusion International","Montreal, Quebec","Canada",""
"Leda Serene Films","Toronto, Ontario","Canada",""
"Malofilm","Montreal, Quebec","Canada",""
"National Film Board of Canada","Montreal, Quebec","Canada",""
"Paperny Entertainment","Vancouver, British Columbia","Canada",""
"Shaftesbury Films","Toronto, Ontario","Canada",""
"Shavick Entertainment","Vancouver, British Columbia","Canada",""
"sisu production","Toronto, Ontario","Canada",""
"Suneeva","Toronto, Ontario","Canada",""
"True West Films","Saltspring Island, British Columbia","Canada",""
"Alibaba Pictures","","China",""
"Asia Film Company","Shanghai","China","Defunct in 1914"
"Beijing Enlight Pictures","Beijing","China",""
"Beijing Galloping Horse Group","Beijing","China",""
"Changchun Film Group Corporation","Changchun, Jilin","China",""
"China Film Group Corporation","Beijing","China",""
"Cinema Popular","Hong Kong","China",""
"Diantong Film Company","Shanghai","China","Defunct in 1935"
"DMG Entertainment","Beijing","China",""
"Fantasy Pictures","Beijing","China",""
"Film Workshop","Hong Kong","China",""
"Fly Films","Shanghai","China",""
"Fundamental Films","Shanghai","China",""
"Golden Princess Film Production","Hong Kong","China",""
"Great Wall Film Company","Shanghai","China","Last known film was 1930"
"Hengdian World Studios","Dongyang","China",""
"Heyi Pictures","","China",""
"Huayi Brothers","Beijing","China",""
"Imar Film Company","Beijing","China",""
"L'est Films Group","Beijing","China",""
"Laurel Films","Beijing","China",""
"Lianhua Film Company","Shanghai","China","Defunct in 1937"
