"Headquarters","Notes","Name"
"Taichung","Coffee shop","85C Bakery Cafe"
"New Taipei City","Computer and peripheral equipment","Acer Inc."
"New Taipei City","Memory and storage","ADATA"
"Chiayi","Scooters and quad-bikes","Adly"
"Tainan","ATVs, scooters, and mini-bikes","Aeon"
"Taichung","State-owned aerospace research and engineering","Aerospace Industrial Development Corporation"
"Taipei","Publishing, database, indexing, ebooks, online bookstore, wine","Airiti Inc."
"Taipei","","Alchip"
"Kaohsiung","Iron and steel","An Feng Steel"
"Taipei","Display products","AOC"
"Taipei","Computer and peripheral equipment","AOpen"
"Taipei","Computer memory and memory-based products, mp3 players","Apacer"
"New Taipei City","Type foundry","Arphic Technology"
"Taipei","Cement","Asia Cement Corporation"
"Hsinchu","","ASIX"
"Taipei","Computer and peripheral equipment","ASUS"
"New Taipei City","KVM/USB","ATEN International"
"Taipei","Semiconductor of Dram and NAND Flash memory products","ATP Electronics"
"Hsinchu","Optoelectronics","AU Optronics"
"Hsinchu","Image scanners, MFP","Avision"
"Taipei","Banking, financial and related services","Bank of Taiwan"
"New Taipei City","Financial and insurance","Bank SinoPac"
"New Taipei City","Computer accessories","Behavior Tech Computer"
"Taipei","LCDs, projectors, cell phones","BenQ"
"Taipei","Communications and Internet","Billion"
"New Taipei City","Computer and peripheral equipment","Biostar"
"Taipei","Gaming, defunct 1992","Bit Corporation"
"Taipei","Sound cards","C-Media"
"Taipei","Motherboards, video cards, sound cards","Chaintech"
"Taichung","Finance and insurance","Chang Hwa Bank"
"Yuanlin","Rubber","Cheng Shin Rubber"
"Tainan","Plastics","Chi Mei Corporation"
"Taipei","","Chicony Electronics"
"Zhunan","TFT-LCD panels","Chimei Innolux Corporation"
"Taoyuan","Shipping and transportation","China Airlines"
"Taipei","Finance and insurance","China Life"
"Taipei","Automobile","China Motor Corporation"
"Kaohsiung","Iron and steel","China Steel"
"Taipei","Publishing","Chingwin Publishing Group"
"Taoyuan","Testing equipment and automation system","Chroma ATE"
"Taipei","Iron and steel","Chun Yuan Steel"
"Taipei","Communications and Internet","Chunghwa Telecom"
"Taipei","Automatic identification and data capture","CipherLab"
"Taipei","OEM/ODM laptops","Clevo"
"Taipei","Digital media","CMC Magnetics"
"New Taipei City","RF repeaters","Coiler"
"Taipei","Computer and peripheral equipment","Compal Electronics"
"Taipei","Construction","Continental Engineering Corporation"
"New Taipei City","Computer cases, power supplies","Cooler Master"
"Taipei","State-owned petroleum, natural gas, and gasoline","CPC Corporation"
"Kaohsiung","Shipping and transportation","CSBC Corporation"
"Taipei","Finance and insurance","CTBC Bank"
"New Taipei City","Information service","CyberLink"
"Taipei","Communications and Internet","D-Link"
"Taipei","Shipping and transportation","Daily Air"
"Taipei","","DBTel"
"New Taipei City","Computer and peripheral equipment","DFI"
"Taipei","Internet service provider","Digital United"
"Taipei","Food","Din Tai Fung"
"New Taipei City","Cellphones","Dopod"
"Taipei","Type foundry","DynaComware"
"Taipei","Banking, financial and related services","E.SUN Commercial Bank"
"New Taipei City","Optoelectronics","Edison-Opto"
"New Taipei City","Computer and peripheral equipment","Elitegroup Computer Systems"
"Hsinchu","Optoelectronics","Epistar"
"Taipei","Electronics, defunct 2007","EPoX"
"Taipei","Retail","Eslite Bookstore"
"Taoyuan","Shipping and transportation","EVA Air"
"Taoyuan","Shipping and transportation","Evergreen Marine"
"New Taipei City","Optoelectronics","Everlight Electronics"
"Taipei","Online restaurant reservations","EZTABLE"
"New Taipei City","Textiles","Far Eastern New Century"
"Hsinchu","","Faraday Technology"
"New Taipei City","Communications and Internet","FarEasTone"
"Taoyuan","Tires","Federal Corporation"
"Taipei","Computer and peripheral equipment","First International Computer"
"Taipei","Communications and Internet, defunct 2014","First International Telecom"
"Kaohsiung","Plastics","Formosa Plastics"
"New Taipei City","Electronics","Foxconn"
"Taoyuan","Power supply","FSP Group"
"Taipei","Finance and insurance","Fubon Financial Holding Co."
"Taipei","Computer hardware","G.Skill"
"New Taipei City","Game distributor","Gamania"
"Taipei","RAM, flash memory","GeIL"
"Taichung","Bicycles","Giant Bicycles"
"New Taipei City","Computer and peripheral equipment","Gigabyte Technology"
"Taipei","Gambling and games","GigaMedia Limited"
"Hsinchu","","Global Unichip Corporation"
"Tainan","Steel","Gloria Material Technology Corp."
"Taipei","Electronics","Grand Wing Servo-Tech"
"Taipei","Optoelectronics","HannStar Display Corporation"
"New Taipei City","Beverages","HeySong Corporation"
"Taipei","Music","HIM International Music"
"Xiulin","Electricity","Ho-Ping Power Company"
"Hsinchu","Semiconductors","Holtek"
"Taipei","Automobiles","Hotai Motor"
"Taipei","Food company specializing in meat products","Hsin Tung Yang"
"New Taipei City","Communications, Internet, cellphones","HTC Corporation"
"Hsinchu","CCTV cameras","I-View"
"Taoyuan","Computer hardware","In Win Development"
"New Taipei City","Electronics","Infortrend"
"Taipei","","Insyde Software"
