"SEC filings","Address of Headquarters","CIK","GICS Sector","Ticker symbol","Security"
"reports","St. Paul, Minnesota","0000066740","Industrials","MMM","3M Company"
"reports","North Chicago, Illinois","0000001800","Health Care","ABT","Abbott Laboratories"
"reports","North Chicago, Illinois","0001551152","Health Care","ABBV","AbbVie"
"reports","Dublin, Ireland","0001467373","Information Technology","ACN","Accenture plc"
"reports","Santa Monica, California","0000718877","Information Technology","ATVI","Activision Blizzard"
"reports","Atlanta, Georgia","0001144215","Industrials","AYI","Acuity Brands Inc"
"reports","San Jose, California","0000796343","Information Technology","ADBE","Adobe Systems Inc"
"reports","Roanoke, Virginia","0001158449","Consumer Discretionary","AAP","Advance Auto Parts"
"reports","Arlington, Virginia","0000874761","Utilities","AES","AES Corp"
"reports","Hartford, Connecticut","0001122304","Health Care","AET","Aetna Inc"
"reports","Columbus, Georgia","0000004977","Financials","AFL","AFLAC Inc"
"reports","Beverly, Massachusetts","0001004434","Financials","AMG","Affiliated Managers Group Inc"
"reports","Santa Clara, California","0001090872","Health Care","A","Agilent Technologies Inc"
"reports","Allentown, Pennsylvania","0000002969","Materials","APD","Air Products & Chemicals Inc"
"reports","Cambridge, Massachusetts","0001086222","Information Technology","AKAM","Akamai Technologies Inc"
"reports","Seattle, Washington","0000766421","Industrials","ALK","Alaska Air Group Inc"
"reports","Baton Rouge, Louisiana","0000915913","Materials","ALB","Albemarle Corp"
"reports","New York, New York","0000004281","Materials","AA","Alcoa Inc"
"reports","Dublin, Ireland","0000884629","Health Care","AGN","Allergan plc"
"reports","Madison, Wisconsin","0000352541","Utilities","LNT","Alliant Energy Corp"
"reports","Cheshire, Connecticut","0000899866","Health Care","ALXN","Alexion Pharmaceuticals"
"reports","Dublin, Ireland","0001579241","Industrials","ALLE","Allegion"
"reports","Plano, Texas","0001101215","Information Technology","ADS","Alliance Data Systems"
"reports","Northfield Township, Illinois","0000899051","Financials","ALL","Allstate Corp"
"reports","Mountain View, California","0001652044","Information Technology","GOOGL","Alphabet Inc Class A"
"reports","Mountain View, California","0001652044","Information Technology","GOOG","Alphabet Inc Class C"
"reports","Richmond, Virginia","0000764180","Consumer Staples","MO","Altria Group Inc"
"reports","Seattle, Washington","0001018724","Consumer Discretionary","AMZN","Amazon.com Inc"
"reports","St. Louis, Missouri","0001002910","Utilities","AEE","Ameren Corp"
"reports","Fort Worth, Texas","0000006201","Industrials","AAL","American Airlines Group"
"reports","Columbus, Ohio","0000004904","Utilities","AEP","American Electric Power"
"reports","New York, New York","0000004962","Financials","AXP","American Express Co"
"reports","New York, New York","0000005272","Financials","AIG","American International Group, Inc."
"reports","Boston, Massachusetts","0001053507","Financials","AMT","American Tower Corp A"
"reports","Voorhees, New Jersey","0001410636","Utilities","AWK","American Water Works Company Inc"
