"Company","GICS","Headquarters"
"Australian Agricultural Company Limited","?",""
"Ardent Leisure Group","25",""
"Adelaide Brighton Limited","?",""
"Abacus Property Group","40","23x15px Sydney"
"AGL Energy Limited","55","23x15px Sydney"
"Automotive Holdings Group Limited","?","23x15px Perth"
"Asaleo Care Limited","?",""
"Asciano Limited","?",""
"Aristocrat Leisure Limited","25",""
"ALS Limited","?",""
"Altium Limited","?",""
"Amcor Limited","15","23x15px Melbourne"
"AMP Limited","40","23x15px Sydney"
"Ansell Limited","?",""
"Australia and New Zealand Banking Group Limited","40","23x15px Melbourne"
"Aveo Group","40",""
"APA Group","55",""
"Australian Pharmaceutical Industries Limited","?",""
"APN News & Media Limited","25",""
"Apn Outdoor Group Limited","25",""
"ARB Corporation Limited","10",""
"Austal Limited","?","23x15px Perth"
"Ausnet Services Limited","55",""
"ASX Limited","40","23x15px Sydney"
"Alumina Limited","15",""
"AWE Limited","10",""
"Aurizon Holdings Limited","20","23x15px Brisbane"
"Burson Group Limited","25",""
"Bendigo and Adelaide Bank Limited","40","23x15px Melbourne"
"Bega Cheese Limited","?",""
"BHP Billiton Limited","15","23x15px Melbourne / 23x15px London"
"Blackmores Limited","?","23x15px Warriewood, New South Wales"
"Boral Limited","15",""
"Bank of Queensland Limited","40","23x15px Brisbane"
"Beach Energy Limited","10",""
"Breville Group Limited","25",""
"Broadspectrum Limited","?",""
"Bluescope Steel Limited","15",""
"BT Investment Management Limited","40",""
"BWP Trust Ord Units","40",""
"Brambles Limited","20","23x15px Sydney"
"Cabcharge Australia Limited","?",""
"Carsales.com Limited","?",""
"Commonwealth Bank of Australia","40","23x15px Sydney"
"Coca-Cola Amatil Limited","30","23x15px Sydney"
"Credit Corp Group Limited","?",""
"Costa Group Holdings Limited","40",""
"Challenger Limited","40",""
"Charter Hall Group Forus","40",""
"CIMIC Group Limited","?",""
"Cromwell Property Group","40",""
"Cochlear Limited","?",""
"Computershare Limited","45","23x15px Melbourne"
"Charter Hall Retail Reit Unit","40",""
"CSL Limited","35","23x15px Melbourne"
"CSR Limited","15",""
"Corporate Travel Management Limited","40",""
"Caltex Australia Limited","10",""
"Cover-more Group Limited","40",""
"Crown Resorts Limited","25","23x15px Melbourne"
"Duluxgroup Limited","15",""
"Domino's Pizza Enterprises Limited","40",""
"Downer Group Limited","?",""
"Duet Group Forus","55",""
"Dexus Property Group","?","23x15px Sydney"
"Estia Health Limited","35",""
"Evolution Mining Limited","15",""
"Fletcher Building Limited NZ","15",""
"Flight Centre Travel Group Limited","25",""
"Fortescue Metals Group Limited","15","23x15px Perth"
"Fisher & Paykel Healthcare Corporation Limited NZ","?",""
"Fairfax Media Limited","40",""
"Flexigroup Limited","40",""
"G8 Education Limited","40",""
"Genworth Mortgage Insurance Australia Limited","40",""
"Goodman Group","40","23x15px Sydney"
"Graincorp Limited","?",""
"Growthpoint Properties Australia","40",""
"GPT Group","40","23x15px Sydney"
"Gateway Lifestyle Group","40",""
"G.u.d. Holdings Limited","40",""
"GWA Group Limited","?",""
"Greencross Limited","?",""
"Henderson Group PLC","40",""
"Healthscope Limited","?",""
"Harvey Norman Holdings Limited","25",""
"Insurance Australia Group Limited","40","23x15px Sydney"
"Ioof Holdings Limited","40",""
"Independence Group NL","15",""
"Iluka Resources Limited","15","23x15px Perth"
"Investa Office Fund","40",""
"Incitec Pivot Limited","15","23x15px Melbourne"
"Iress Limited","?",""
"Isentia Group Limited","?",""
"Invocare Limited","25",""
"JB Hi-fi Limited","25",""
"Japara Healthcare Limited","35",""
"James Hardie Industries PLC","15",""
"Karoon Gas Australia Limited","10",""
"Lendlease Group","40","23x15px Sydney"
"Liquefied Natural Gas Limited","10",""
"Magellan Financial Group Limited","40",""
"Mirvac Group","40","23x15px Sydney"
"Mineral Resources Limited","?","23x15px Perth"
"Mcmillan Shakespeare Limited","?",""
"Monadelphous Group Limited","?","23x15px Perth"
"Medibank Private Limited","40","23x15px Melbourne"
"Macquarie Atlas Roads Group","?",""
"Macquarie Group Limited","40","23x15px Sydney"
"Mesoblast Limited","?",""
"Mantra Group Limited","25",""
"Metcash Limited","?",""
"M2 Group Limited","?",""
"Myob Group Limited","?",""
"Myer Holdings Limited","25",""
"Mayne Pharma Group Limited","?",""
"National Australia Bank Limited","40","23x15px Melbourne"
"Newcrest Mining Limited","15","23x15px Melbourne"
"Nine Entertainment Co. Holdings Limited","25",""
"National Storage Reit","40",""
"Northern Star Resources Limited","15","23x15px Perth"
"Nufarm Limited","15",""
"Navitas Limited","25","23x15px Perth"
"News Corporation","25",""
"Ozforex Group Limited","40",""
"Orora Limited","15",""
"Origin Energy Limited","10","23x15px Sydney"
"Orica Limited","15","23x15px Melbourne"
"Oil Search Limited","10","23x15px Port Moresby"
"Oz Minerals Limited","15",""
"Pacific Brands Limited","25",""
"Pact Group Holdings Limited","15",""
"Premier Investments Limited","25",""
"Perpetual Limited","40",""
"Programmed Maintenance Services Limited","?","23x15px Perth"
"Primary Health Care Limited","35",""
"Platinum Asset Management Limited","40",""
"Qantas Airways Limited","20","23x15px Sydney"
"QBE Insurance Group Limited","40","23x15px Sydney"
"Qube Holdings Limited","?",""
"REA Group Limited","25",""
"Recall Holdings Limited","?",""
"Regis Healthcare Limited","35",""
"Retail Food Group Limited","25",""
"Ramsay Health Care Limited","35",""
"Rio Tinto Limited","15","23x15px Melbourne / 23x15px London"
"ResMed Inc","?",""
"Regis Resources Limited","15","23x15px Perth"
"South32 Limited","15","23x15px Perth"
"SAI Global Limited","?",""
"Scentre Group","40",""
"Shopping Centres Australasia Property Group","40",""
"Steadfast Group Limited","40",""
"Seek Limited","20","23x15px Melbourne"
"Sandfire Resources NL","15","23x15px Perth"
"Slater & Gordon Limited","40",""
"Sims Metal Management Limited","15",""
"Stockland","40","23x15px Sydney"
"Star Entertainment Group Limited","40",""
"Sonic Healthcare Limited","35","23x15px Sydney"
"Select Harvests Limited","?",""
"Sigma Pharmaceuticals Limited","?",""
"Skycity Entertainment Group Limited NZ","25",""
"Spark Infrastructure Group Forus","55",""
"SKY Network Television Limited NZ","25",""
"Spark New Zealand Limited NZX","?",""
"Spotless Group Holdings Limited","?",""
"Sirtex Medical Limited","?",""
"Santos Limited","10","23x15px Adelaide"
"Super Retail Group Limited","25",""
"Suncorp Group Limited","40","23x15px Brisbane"
"Seven Group Holdings Limited","?",""
"Seven West Media Limited","25","23x15px Perth"
"Southern Cross Media Group Limited","25",""
"Sydney Airport Forus","20","23x15px Sydney"
"Syrah Resources Limited","15",""
"Tabcorp Holdings Limited","25",""
"Transurban Group","20","23x15px Melbourne"
"Ten Network Holdings Limited","25",""
"Tassal Group Limited","?",""
"Telstra Corporation Limited","50","23x15px Melbourne"
"Trade Me Group Limited","25",""
"Technology One Limited","?",""
"Transpacific Industries Group Limited","?",""
"TPG Telecom Limited","?",""
"Tatts Group Limited","25",""
"Treasury Wine Estates Limited","?",""
"Vicinity Centres","40",""
"Veda Group Limited","?",""
"Vocus Communications Limited","?",""
"Village Roadshow Limited","25",""
"Virtus Health Limited","35",""
"Westpac Banking Corporation","40","23x15px Sydney"
"Wesfarmers Limited","20","23x15px Perth"
"Westfield Corporation","40","23x15px Sydney"
"Whitehaven Coal Limited","10",""
"Worleyparsons Limited","10",""
"Woolworths Limited","30","23x15px Sydney"
"Woodside Petroleum Limited","10","23x15px Perth"
"Western Areas Limited","15",""
