"Products / Solutions","Sector","Notes","Name"
"","Defense","","ACRO Inc"
"","Electronic components","","ACS Motion Control Ltd."
"Drug Development for Cognitive Dysfunctions","Pharmaceuticals","","Alcobra Ltd."
"Broadband service optimization","Networking & communication","Dual listed on TASE","Allot Communications Ltd."
"WiMax","Wireless technology","Dual listed on TASE","Alvarion Ltd."
"","Holding Company","","Ampal-American Israel Corporation"
"Data integration, Big Data","Software","","Attunity Ltd."
"VoIP","Networking & communication","Dual listed on TASE","AudioCodes Ltd."
"","Telecommunications","Dual listed on TASE","B Communications"
"RFID and Supply Chain solutions","Wireless technology","","B.O.S. Better Online Solutions"
"","Biopharmaceuticals","Dual listed on TASE","BioLineRx Ltd."
"Universal Influenza Vaccine","Pharmaceuticals","Dual listed on TASE","BiondVax Pharmaceuticals Ltd"
"Legacy modernization","Software","Dual listed on TASE","BluePhoenix Solutions Ltd."
"","Biotech","","Brainstorm Cell Therapeutics Inc"
"Quartz surfaces","Home building","","Caesarstone Sdot-Yam"
"Automated optical inspection for PCB manufacturing","Industrial equipment","Dual listed on TASE","Camtek Intelligent Imaging Ltd."
"","Biotech","","Cell Kinetics Ltd."
"","Wireless","Dual listed on TASE","Cellcom Israel Ltd."
"","Wireless technology","Dual listed on TASE","Ceragon Networks Ltd."
"Silicon intellectual property provider for DSP solutions","Semiconductors","","CEVA, Inc."
"","Medical equipment","","Check-Cap Ltd."
"","IT Security","","Check Point Software Technologies Ltd."
"CAD/ CAM","Software","","Cimatron, Limited"
"Workforce and service management","Software","","ClickSoftware Technologies Ltd."
"Web Security, Email Security, Anti-Malware","Internet Security","Dual listed on TASE","CYREN Ltd. (previously Commtouch)"
"","Biotech","Dual listed on TASE","Compugen Ltd."
"","Networking & communication","","Comverse Technology, Inc."
"Alarms","Security Systems","","Crow Technologies 1977 Ltd."
"","Software","","CyberArk"
"Fabless DSP solutions","Semiconductors","","DSP Group, Inc."
"","Holding Company","","Elbit Medical Imaging Ltd."
"","Defense","Dual listed on TASE","Elbit Systems Ltd."
"Printed circuit boards (PCB) manufacturer","Electronic components","","Eltek Ltd."
"","Biotech","","Enzymotec Ltd"
"Fabless chip design","Semiconductors","Dual listed on TASE","EZchip Semiconductor Ltd."
"","Pharmaceuticals","","Foamix Pharmaceuticals Ltd"
"","Holding Company","Dual listed on TASE","Formula Systems (1985) Ltd."
"","Food dist","Dual listed on TASE","G. Willi-Food International, Ltd."
"","Biotech","","GammaCan International, Inc."
"Satellite receivers","Networking & communication","Dual listed on TASE","Gilat Satellite Networks Ltd."
"Diagnostic solutions","Medical equipment","Dual listed on TASE","Given Imaging Ltd."
"","Security services","","ICTS International N.V."
"","Security Systems","","Inksure Technologies Inc."
"","Software","","Intelligent Information Systems Ltd."
"","Communication services","Dual listed on TASE","Internet Gold Golden Lines Ltd."
"","Oil exploration","","Isramco, Inc."
"location-based services","Communication services","Dual listed on TASE","Ituran Location and Control Ltd."
"","Networking & communication","","IXI Mobile, Inc."
