"Airline","Comments","Country","ICAO","Call sign"
"34 Squadron, Royal Australian Air Force","","Australia","EVY",""
"135 Airways","","United States","GNL","GENERAL"
"1Time Airline","airline defunct","South Africa","RNX","NEXTIME"
"2 Sqn No 1 Elementary Flying Training School","Royal Air Force","United Kingdom","WYT","WYTON"
"213 Flight Unit","","","TFU","Thjy|Russia"
"223 Flight Unit State Airline","","Russia","CHD","CHKALOVSK-AVIA"
"224th Flight Unit","","Russia","TTF","CARGO UNIT"
"247 Jet Ltd","","United Kingdom","TWF","CLOUD RUNNER"
"3D Aviation","","United States","SEC","SECUREX"
"40-Mile Air","","United States","MLA","MILE-AIR"
"4D Air","defunct","Thailand","QRT","QUARTET"
"43 Air School","","South Africa","PIU","PRIMA"
"Interjet","","Mexico","AIJ","Interjet"
"Advanced Air","2015","United States","WSM","WINGSPAN"
"A-Jet Aviation Aircraft Management","","Austria","GBT","GLOBETROTTER"
"A-Jet Aviation Company","","Mongolia","AJR","JET MONGOLIA"
"A-Safar Air Services","","Nigeria","SFM","AIR SAFAR"
"A2 Jet Leasing","","United States","AJJ","ATLANTIC JET"
"AASANA","","Bolivia","XXV",""
"Air Costa","2014","India","LEP","LECOSTA"
"Abakan Air","2014","Russian Federation","NKP","ABAKAN AIR"
"Advanced Air","2014","Japan","ADD",""
"Aero Owen","2014","Mexico","OWN","AERO OWEN"
"Aero Sotravia","2014","France","ASR","SOTRAVIA"
"Aerohelicopteros","2014","Venezuela","ARH","AEROHELCA"
"Aeroventas de Mexico","2014","Mexico","VMX","VENTA"
"Airspeed Charter","2014","Jamaica","ACC",""
"Algonquin Airlink","2014","Canada","FSY","FROSTY"
"Alpha Jet","2014","Slovakia","ALN","TOLEMAC"
"Atlas Ukraine Airlines","2014","Ukraine","UJX","ATLAS UKRAINE"
"Avior Regional","2014","Venezuela","RGR","AVIOR REGIONAL"
"Air Charity Network","Re-allocated in 2014 was used by Angel Flight America","United States","NGF","ANGEL FLIGHT"
"Aircharters Worldwide","Allocated 2014","United States","WFT","WORLD FLIGHT"
"Attawasol Airlines","","Libya","ATT","ATTAWASOL AIR"
"Apollo Air Service","Was VLL Limited","United Kingdom","EDY","STOBART"
"Air Turks and Caicos","Name changed from Interisland Airways Limited","Turks and Caicos Islands","IWY","ISLANDWAYS"
"Air Serbia","formerly JAT","Serbia","ASL","AIR SERBIA"
"Air Kyrgyzstan","Name changed from Kyrgyzstan","Kyrgyzstan","LYN","ALTYN AVIA"
"Air Corsica","","France","CCM","CORSICA"
"AHS Air International","","Pakistan","AHS","HIGH SKY"
"Aberdair Aviation Ghana","","Ghana","ROH",""
"Aero Roa","","Mexico","ROO","AERO ROA"
"Aeroforward","","United States","AWF",""
"Aeronautical Charters","","United States","SUP","SUN SPEED"
"Aerotaxis Pegaso","","Mexico","PSO","AEROPEGASO"
"Air Volta","","Bulgaria","VLB","VOLTA"
"Air-Watania","","Iraq","WAS",""
"AirSprint US","Previously used code ""HAB""","United States","FCJ","FRACJET"
"Airteam Charter","","South Africa","TEW","TEAMWORK"
"Alpha Star Charter","","Saudi Arabia","STT","STAR CHARTER"
"Angkasa Super Service","","Indonesia","LBZ",""
"Arrow Aviation","","Israel","HEZ","ARROW"
"Air Experience Flight, Cranwell","Royal Air Force","United Kingdom","UAH",""
"Adro Servicios Aereos","","Mexico","DRO","ADRO SERVICIOS"
"Aero Jet International","","United States","RVQ","REVA AIR"
"Aerosky","","Spain","ASK","MULTISKY"
"Aero4m","","Slovenia","AEH","AEROCUTTER"
"Aeroecom","","Venezuela","","AEROECOM"
"Aerolink Uganda","","Uganda","XAU","PEARL"
"Aeromonkey","","Mexico","NKY","AEROMON"
"Aeroworld Pakistan","","Pakistan","AWP",""
"AG Air","","Georgia","AGA","GEOLINE"
"Air Ambulance Services","","Bahamas","ABZ","ISLAND LIFEFLIGHT"
"Air Canada Rouge","","Canada","ROU","ROUGE"
"Air China Inner Mongolia","","China","CNM","MENGYUAN"
"Air Côte d'Ivoire","","Ivory Coast","VRE","COTE DIVORIE"
"Air Walser","","Malta","AWL",""
"Air X Charter","","Malta","AXY",""
"ART Aviation","","Austria","OES","ART AUSTRIA"
"Austrian Air Force","","Austria","ASF","AUSTRIAN AIRFORCE"
"Aviation Legacy","","Gambia","AVG","AVILEF"
"Aztec Worldwide Airlines","","United States","AZY","AZTEC WORLD"
"Abacus International","Computer reservation system","Singapore","",""
"Abelag Aviation","","Belgium","AAB","ABG"
"Air Cargo Germany","defunct","Germany","ACX","LOADMASTER"
"Aero Aviation Centre Ltd.","Ceased operations 1995","Canada","AAD","SUNRISE"
"Aero Servicios Ejecutivos Internacionales","","Mexico","SII","ASEISA"
"Aero Biniza","","Mexico","BZS","BINIZA"
"Aero Comondu","","Mexico","ACO","AERO COMONDU"
"Aero-Palma","defunct","Spain","AET","AERO PALMA"
"Aero Albatros","","Spain","ABM","ALBATROS ESPANA"
"Aero Asia International","defunct","Pakistan","RSO","AERO ASIA"
"Aigle Azur","Former name: Lucas Aigle Azur; former IATA code: LK","France","AAF","AIGLE AZUR"
"Aviation Management Corporation","","United States","AAM","AM CORP"
"Atlantis Airlines (USA)","","United States","AAO","ATLANTIS AIR"
"Aerovista Airlines","defunct","Kyrgyzstan","AAP","AEROVISTA GROUP"
"Air Ceylon","defunct","Sri Lanka","AE",""
"Asiana Airlines","","Republic of Korea","AAR","ASIANA"
"Askari Aviation","","Pakistan","AAS","AL-ASS"
"Australia Asia Airlines","Subsidiary merged into QANTAS; former IATA code: IM","Australia","AAU","AUSTASIA"
"Astro Air International","","United States","AAV","ASTRO-PHIL"
"Afriqiyah Airways","","Libya","AAW","AFRIQIYAH"
"Afrinat International Airlines","defunct, ICAO code no longer allocated","Gambia","AFU","AFRINAT"
"Afric'air Express","defunct","Côte d'Ivoire","AAX","AFREX"
"Air Brasd'or","","Canada","BRL","BRASD'OR"
"Air Fecteau","defunct","Canada","AFH","FECTO"
"Air 500","defunct","Canada","BRM","BOOMERANG"
"Atlantic Flight Training","Changed from Air Atlantique in 2014","United Kingdom","AAG","ATLANTIC"
"Air Atlantique","Former name: Atlantic Air Transport; former IATA codes: 7M, DG, transferred to Atlantic Flight Training in 2014.","United Kingdom","AAG","ATLANTIC"
"Air Alma","Ceased operations 10/01/2002; former IATA code: 4L","Canada","AAJ","AIR ALMA"
"Air Cess","defunct","Liberia","ACS",""
"Air Dorval","defunct","Canada","ADT","AIR DORVAL"
"Air Hungaria","","Hungary","AHN","AIR HUNGARIA"
"Air Adriatic","defunct","Croatia","AHR","ADRIATIC"
"Air Hong Kong","","Hong Kong","AHK","AIR HONG KONG"
"Air Viggi San Raffaele","","Italy","AHS","AIRSAR"
"Air Express","","Sweden","AEQ","LUNA"
"Air Aurora","Former IATA code: AX","United States","AAI","BOREALIS"
"Air Cargo Transportation System","","Kenya","ACU","AFRISPIRIT"
"Air Charter Service","ICAO code no longer allocated","United Kingdom","ACV",""
"Air Atlantic Dominicana","defunct","Dominican Republic","ADC","ATLAN-DOMINICAN"
"Air Andaman","defunct 2004","Thailand","ADW","AIR ANDAMAN"
"Air Europa","","Spain","AEA","EUROPA"
"Air Italy","merged into Meridiana","Italy","AEY","AIR ITALY"
"Air Southwest Ltd.","defunct","Canada","ASW","AIRSOUTHWEST"
"Air Special","","Czech Republic","ASX","AIRSPEC"
"Air Macau","","Macao","AMU","AIR MACAO"
"Air Midwest","defunct","United States","AMW","AIR MIDWEST"
"Air Seychelles","","Seychelles","SEY","SEYCHELLES"
"Air Sofia","defunct","Bulgaria","SFB","AIR SOFIA"
"Air Bravo","","Uganda","BRF","AIR BRAVO"
"Air France","","France","AFR","AIRFRANS"
"Air Partner","","United Kingdom","ACG","AIR PARTNER"
"Air Caledonie International","","France","ACI","AIRCALIN"
"AirClass Airways","formerly Visig Operaciones Aéreas","Spain","VSG","VISIG"
"Air Nippon Network Co. Ltd.","","Japan","AKX","ALFA WING"
"Air ALM","defunct","Netherlands Antilles","ALM","ANTILLEAN"
"Air Lincoln","","United States","ALN","CHICAGO LINCOLN"
"Air Caledonia","","Canada","ACM","WEST CAL"
"Air Guam","","United States","AGM","AIR GUAM"
"Air Wisconsin","","United States","AWI","AIR WISCONSIN"
"Air Luxor STP","","São Tomé and Príncipe","ALU","LUXORJET"
"Air Sunshine","","United States","RSI","AIR SUNSHINE"
"Air Gabon","defunct","Gabon","AGN","GOLF NOVEMBER"
"Air Data","","United Kingdom","AFS",""
"Air Afrique Vacancies","","Côte d'Ivoire","AFV","AFRIQUE VACANCE"
"Air Japan","","Japan","AJX","AIR JAPAN"
"Air Liberté","defunct","France","LIB","AIR LIBERTE"
"Air Lithuania","defunct","Lithuania","KLA","KAUNAS"
"Air Minas Linhas Aéreas","defunct","Brazil","AMG","AIR MINAS"
"Air North Charter - Canada","","Canada","ANT","AIR NORTH"
"Air Nevada","","United States","ANV","AIR NEVADA"
"Air New Zealand","","New Zealand","ANZ","NEW ZEALAND"
"Air One Executive","","Italy","AOE",""
"Air Maldives","defunct","Maldives","AMI","AIR MALDIVES"
"Air Malawi","","Malawi","AML","MALAWI"
"Air Montenegro","","Montenegro","AMN","MONTENEGRO"
"Air Mediterranee","","France","BIE","MEDITERRANEE"
"Air Mekong","defunct","Vietnam","MKG","MEKONG"
"Air Moorea","defunct","France","TAH","AIR MOOREA"
"Air Valencia","","Spain","AVZ","AIR VALENCIA"
"Air Montreal (Air Holdings Inc.)","","Canada","AMO","AIR MONTREAL"
"Air Sicilia","","Italy","",""
"Air Specialties Corporation","Air American, Total Air","United States","AMR","AIR AM"
"Air Muskoka","","Canada","AMS","AIR MUSKOKA"
"Avon Jet","","Austria","AOJ","ASTERIX"
"Air Jetsul","","Portugal","AJU","AIRJETSUL"
"Air Korea Co. Ltd.","","Republic of Korea","AKA",""
"Air Livonia","defunct","Estonia","LIV","LIVONIA"
"Air BC","Merged into Air Canada Jazz","Canada","ABL","AIRCOACH"
"Air Fret Senegal","","Senegal","ABN",""
"Air Jamahiriya Company","ICAO code no longer allocated","Libya","LJA","AIR JAMAHIRIYA"
"Air Service Gabon","defunct","Gabon","AGB",""
"Air Glaciers","","Switzerland","AGV","AIR GLACIERS"
"Air Cargo America","","United States","MVM","PEGASUS"
"Air Ambar","","Dominican Republic","AMY","AIR AMBAR"
"Air Vegas","defunct","United States","VGA","AIR VEGAS"
"Air Tractor","","Croatia","AOU","AIR TRACTOR"
"Air Park Aviation Ltd.","","Canada","APA","CAN-AM"
"Air People International","","Thailand","APG","AIR PEOPLE"
"All Nippon Airways","","Japan","ANA","ALL NIPPON"
"Air Navigation And Trading Co. Ltd.","Former ICAO code: AAT","United Kingdom","ANB","AIR NAV"
"Air-Angol","","Angola","NGO","AIR ANGOL"
"air-taxi Europe","","Germany","TWG","TWINGOOSE"
"Air Nigeria","defunct","Nigeria","NGP","REGAL EAGLE"
"Air Cargo Carriers","","United States","SNC","NIGHT CARGO"
