,table_1,table_2,column_table_1,column_table_2,match_value
0,Gren-disfold.com.json,Wissel-ariregister.rik.ee.json,name,Name,0.7664843
1,Gren-disfold.com.json,Wissel-ariregister.rik.ee.json,country,Code_y,0.3677385
2,Gren-disfold.com.json,Wissel-ariregister.rik.ee.json,stock,Status,0.32581615
3,Gren-disfold.com.json,Wissel-ariregister.rik.ee.json,market_capitalization_USD,Capital,0.3147139
4,Gren-disfold.com.json,Wissel-ariregister.rik.ee.json,industry,ID,0.24697885
5,Gren-disfold.com.json,MalPatSaj-disfold.com.json,industry,Industry,0.91908455
6,Gren-disfold.com.json,MalPatSaj-disfold.com.json,country,Country,0.9166336
7,Gren-disfold.com.json,MalPatSaj-disfold.com.json,sector,Sector,0.91387624
8,Gren-disfold.com.json,MalPatSaj-disfold.com.json,stock,Stock,0.9107512
9,Gren-disfold.com.json,MalPatSaj-disfold.com.json,name,Name,0.9071798
10,Gren-disfold.com.json,MalPatSaj-disfold.com.json,market_capitalization_USD,MarketCap,0.5060729
11,Gren-disfold.com.json,DDD-ft.com.json,country,country,0.814752
12,Gren-disfold.com.json,DDD-ft.com.json,sector,sector,0.8119946
13,Gren-disfold.com.json,DDD-ft.com.json,name,name,0.80529815
14,Gren-disfold.com.json,DeBiGa-globaldata.json,industry,industry,0.8127117
15,Gren-disfold.com.json,DeBiGa-globaldata.json,name,name,0.80080694
16,Gren-disfold.com.json,DeBiGa-globaldata.json,market_capitalization_USD,market_cap,0.49715233
17,Gren-disfold.com.json,DeBiGa-globaldata.json,stock,address,0.2606284
18,Wissel-ariregister.rik.ee.json,MalPatSaj-disfold.com.json,Name,Name,0.7630809
19,Wissel-ariregister.rik.ee.json,MalPatSaj-disfold.com.json,Code_y,Country,0.36433506
20,Wissel-ariregister.rik.ee.json,MalPatSaj-disfold.com.json,Status,Stock,0.32241273
21,Wissel-ariregister.rik.ee.json,MalPatSaj-disfold.com.json,ID,Industry,0.24357545
22,Wissel-ariregister.rik.ee.json,MalPatSaj-disfold.com.json,Capital,MarketCap,0.21387458
23,Wissel-ariregister.rik.ee.json,DDD-ft.com.json,Name,name,0.75189424
24,Wissel-ariregister.rik.ee.json,DDD-ft.com.json,Code_y,country,0.35314843
25,Wissel-ariregister.rik.ee.json,DeBiGa-globaldata.json,Address,address,0.7770753
26,Wissel-ariregister.rik.ee.json,DeBiGa-globaldata.json,Name,name,0.76762146
27,Wissel-ariregister.rik.ee.json,DeBiGa-globaldata.json,Role,revenue,0.3174295
28,Wissel-ariregister.rik.ee.json,DeBiGa-globaldata.json,Deletion Date,telephone,0.28181565
29,Wissel-ariregister.rik.ee.json,DeBiGa-globaldata.json,Start Date,website,0.27453914
30,Wissel-ariregister.rik.ee.json,DeBiGa-globaldata.json,ID,industry,0.24811602
31,Wissel-ariregister.rik.ee.json,DeBiGa-globaldata.json,Capital,market_cap,0.2134066
32,MalPatSaj-disfold.com.json,DDD-ft.com.json,Country,country,0.81116337
33,MalPatSaj-disfold.com.json,DDD-ft.com.json,Sector,sector,0.808406
34,MalPatSaj-disfold.com.json,DDD-ft.com.json,Name,name,0.80170953
35,MalPatSaj-disfold.com.json,DeBiGa-globaldata.json,Industry,industry,0.81809115
36,MalPatSaj-disfold.com.json,DeBiGa-globaldata.json,Name,name,0.8061864
37,MalPatSaj-disfold.com.json,DeBiGa-globaldata.json,MarketCap,market_cap,0.6805494
38,MalPatSaj-disfold.com.json,DeBiGa-globaldata.json,Stock,address,0.26600784
39,DDD-ft.com.json,DeBiGa-globaldata.json,name,name,0.7932347
40,DDD-ft.com.json,DeBiGa-globaldata.json,number_of_employees_2020,number_of_employees,0.69153774
41,DDD-ft.com.json,DeBiGa-globaldata.json,number_of_employees_2017,number_of_employees,0.69153774
42,DDD-ft.com.json,DeBiGa-globaldata.json,revenue_2020_euro,revenue,0.49453342
43,DDD-ft.com.json,DeBiGa-globaldata.json,revenue_2017_euro,revenue,0.49453342
44,DDD-ft.com.json,DeBiGa-globaldata.json,country,industry,0.38327235
45,DDD-ft.com.json,DeBiGa-globaldata.json,sector,address,0.24653879
