id_1,id_2,l_name,l_country,l_market cap,l_founded year,l_employees,l_industry,l_sector,l_ceo,l_revenue,l_stock,l_share price,l_city,l_address,l_website,r_name,r_country,r_market cap,r_founded year,r_employees,r_industry,r_sector,r_ceo,r_revenue,r_stock,r_share price,r_city,r_address,r_website
169639,45320,moneta money bank,czech republic,$1.56 b,,,,,,,,$3.04,,,,moneta money bank,,,,,,,,,,,,,
185576,167876,battalion oil,usa,,,,,,,,,11,,,,battalion oil,usa,$0.17 b,,,,,,,,$10.88,,,
183568,36239,m/i homes,usa,,,,,,,,,50,,,,m/i homes,usa,$1.51 b,,,,,,,,$55.06,,,
104654,23428,immunovant,usa,,,,,,,,,$18.60,,,,immunovant,usa,$1.95 b,,,,,,,,$15.10,,,
100317,25226,smith & wesson,usa,$0.47 b,,,,,,,,$10.28,,,,smith & wesson,usa,$0.41 b,,,,,,,,$9.06,,,
160940,35136,investor ab,,,,,,,,,,,,,,investor ab,sweden,$61.57 b,,,,,,,,$19.84,,,
96441,21257,nitto denko,japan,$8.98 b,,,,,,,,$60.69,,,,nitto denko,japan,$9.12 b,,,,,,,,$61.65,,,
134216,42985,leyard optoelectronic,china,3.727 billion usd,,,,,,,,,,,,leyard optoelectronic,,,,,,,,,,,,,
165508,30378,bce,canada,$42.68 b,,,,,,,,$46.62,,,,bce,,,,,,,,,,,,,
132626,66614,gmo payment gateway,japan,10.010 billion usd,,,,,,,,,,,,gmo payment gateway,,,,625,,,,,,,,,httpswww.gmopg.comen
157455,73896,ibstock,,,,,,,,,,,,,httpswww.ibstockplc.co.uk,ibstock,,,,,,,,,,,,,httpswww.ibstockplc.co.uk
95563,63835,hormel foods,usa,$24.35 b,,,,,,,,$44.58,,,,hormel foods,,,1891.0,,food drink tobacco,,,$12b,,,,,
83578,39537,givaudan sa,,chf36.37 billion,,16842,,,not found,,,,,,,givaudan sa,,,,16842,,,gilles andrier,,,,,,
177616,138982,tomtom,netherlands,$0.92 b,,,,,,,,$7.22,,,,tomtom,netherlands,0.993 billion usd,,,,,,,,,,,
143235,10489,chiesi farmaceutici s.p.a.,,,1935,,health care,pharmaceuticals,,,,,,,,chiesi farmaceutici s.p.a.,,,1935,,health care,pharmaceuticals,,,,,,,
163486,39279,brookfield asset management,canada,,1899,150000,banking and financial services,,james bruce flatt,$78.8b,,,,,,brookfield asset management,,,,152000,,,bruce flatt,,,,,,
101342,39380,air products and chemicals,usa,,,,,,,,,$311.40,,,,air products and chemicals,,,,20875,,,seifi ghasemi,,,,,,
161120,30492,sunac china holdings,,,,,,,,,,,,,,sunac china holdings,,,,,,,,,,,,,
176254,25960,skipper limited,india,$0.14 b,,,,,,,,$1.45,,,,skipper limited,india,$0.15 b,,,,,,,,$1.50,,,
173669,30410,al rajhi bank,saudi arabia,$85.28 b,,,,,,,,$21.32,,,,al rajhi bank,,,,,,,,,,,,,
181774,170841,cummins india,india,,,,,,,,,17,,,,cummins india,india,$4.94 b,,,,,,,,$17.83,,,
177430,106114,multiplan,usa,$0.75 b,,,,,,,,$1.18,,,,multiplan,usa,,,,,,,,,$1.20,,,
156347,105006,birchcliff energy,,,,,,,,,,,,,httpbirchcliffenergy.com,birchcliff energy,canada,,,,,,,,,$6.89,,,
103058,67320,centrica,uk,,,,,,,,,$1.18,,,,centrica,,,,26932,,,,,,,,,httpswww.centrica.com
145666,94655,truu,germany,,2011,,,industrial goods,,,,,,,,truu,germany,,2011,72.0,,industrial goods,,12472561,,,,,
98630,36672,eve air mobility,usa,$1.95 b,,,,,,,,$7.34,,,,eve air mobility,usa,$1.95 b,,,,,,,,$7.35,,,
97351,67198,steel authority of india,india,$4.65 b,,,,,,,,$1.13,,,,steel authority of india,,,,68742,,,,,,,,,httpswww.sail.co.in
92924,67128,landstar system,,$6.10 b,,1.3,,,,$7.70 b,,$169.88,,,,landstar system,,,,1399,,,,,,,,,httpswww.landstar.com
184431,139948,forrester research,usa,,,,,,,,,35,,,,forrester research,usa,0.925 billion usd,,,,,,,,,,,
161545,30145,oracle,,,founded june 16 1977,employees 132000,,,ceo ms. safra ada catz,,,,,,,oracle,,,,,,,,,,,,,
128291,104890,enerjisa enerji,turkey,,2011,,utilities electric utilities,,not found,1681 million usd,,,,,,enerjisa enerji,turkey,,,,,,,,,$1.66,,,
129936,87708,apa group,,a$38.06 billion,,2000,,,mr. robert anthony wheals c.a. b.com. bcom ca gaicd maicd,,,,,,,apa group,,a$38.06 billion,,2000,,,mr. robert anthony wheals c.a. b.com. bcom ca gaicd maicd,,,,,,
146177,102374,eqt corporation,,,1888,693 dec. 2021,petroleum industry,,,2020,,,,,www .eqt .com,eqt corporation,usa,,,,,,,,,$34.81,,,
119954,51492,fastenal company,usa,,1967,,industries retail construction materials home furniture home improvement consumer services,,scott a. satterlee,6010 million usd,,,,,,fastenal company,united states,,,,industrial distribution,industrials,,,fast,,,,
133276,42045,china merchants port group,china,5.414 billion usd,,,,,,,,,,,,china merchants port group,,,,7848,,,,,,,,,
155421,46659,fujimi,,,,,,,,,,,,,httpswww.fujimico.com,fujimi,,,,,,,,,,,,,
187639,129527,dassault systemes se,france,us$62.75 billion,,20496,softwareapplication,technology,mr. bernard s. charles,,,,,,,dassault systemes se,,€56.79 billion,,20496,,,mr. bernard s. charles,,,,,,
107269,101005,western new england bancorp,usa,,,,,,,,,$9.74,,,,western new england bancorp,usa,$0.20 b,,,,,,,,$9.45,,,
95586,31022,olympus,japan,$23.39 b,,,,,,,,$18.43,,,,olympus,,,,,,,,,,,,,
140529,49298,elecnor,spain,1.024 billion usd,,,,,,,,,,,,elecnor,,,,,,,,,,,,,
159290,95804,huatai securities,china,,,,,,,$6.04 b,,,,,,huatai securities,china,$17.54 b,,,,,,,,$19.33,,,
172315,30156,charter communications,usa,$58.35 b,,,,,,,,$374.89,,,,charter communications,,,,,,,,,,,,,
184446,177354,godawari power & ispat,india,,,,,,,,,5,,,,godawari power & ispat,india,$0.70 b,,,,,,,,$5.01,,,
150573,67024,affiliated managers group,,,,4400,,,,,,,,,httpswww.amg.com,affiliated managers group,,,,4400,,,,,,,,,httpswww.amg.com
152251,68702,clean science and technology limited,,,,,,,,,,,,,httpswww.cleanscience.co.in,clean science and technology limited,,,,,,,,,,,,,httpswww.cleanscience.co.in
131457,27892,nvr,usa,18.469 billion usd,,,,,dwight schar,,,,,,,nvr,united states,$14.39 b,,,,,,,,,,,
164411,160538,sm investments,philippines,,1958,9000,retailing,,frederic cuyegkeng dybuncio,$8.1b,,,,,,sm investments,,,1958 64 years ago 1958 in manila philippines1,,conglomerate,,,,,,,,
101249,26748,cvs health,usa,,,,,,,,,$89.92,,,,cvs health,united states,$133.53 b,,,,,,,,,,,
137756,46525,e.w. scripps company,usa,1.529 billion usd,,,,,,,,,,,,e.w. scripps company,,,,5600,,,,,,,,,
32872,22446,chargepoint,usa,$4.28 b,,,,,,,,$12.55,,,,chargepoint,usa,$3.85 b,,,,,,,,$11.26,,,
175760,167336,stealth biotherapeutics,,$23.53 m,,,,,,,,$0.32,,,,stealth biotherapeutics,cayman islands,$23.53 m,,,,,,,,$0.32,,,
68985,43772,site centers,,,,361,,,,,,,,,httpswww.sitecenters.com,site centers,,,,361,,,,,,,,,
99664,93545,matterport,usa,$0.87 b,,,,,,,,$3.06,,,,matterport,,$0.89 b,,485.0,,,,$0.12 b,,$3.11,,,
126746,46531,client service international,china,,not found,,technology software and it,,not found,not found,,,,,,client service international,,,,,,,,,,,,,
47272,38001,hippo,,,,,,,,,,,,,,hippo,usa,$0.40 b,,,,,,,,$17.75,,,
136160,70141,the city of london investment trust,uk,2.463 billion usd,,,,,,,,,,,,the city of london investment trust,,,,,,,,,,,,,
147399,94386,yocabea,italy,,2016,,,ecommerce,,3293860,,,,,,yocabea,italy,,2016,12.0,,ecommerce,,3293860,,,,,
95107,26988,investor ab,sweden,$59.32 b,,,,,,,,$19.41,,,,investor ab,sweden,$63.51 b,,,,,,,,,,,
158279,49521,bengo4.com,,,,240,,,,,,,,,httpscorporate.bengo4.com,bengo4.com,,,,240,,,,,,,,,
185980,107797,asian granito india,india,,,,,,,,,1,,,,asian granito india,india,,,,,,,,,$0.59,,,
145058,94047,landbay,uk,,2013,,,fintech,,,,,,,,landbay,uk,,2013,95.0,,fintech,,8980496,,,,,
125533,70519,suzhou crystal clear chemical,china,,not found,,basic materials chemicals,,not found,not found,,,,,,suzhou crystal clear chemical,,,,,,,,,,,,,httpwww.jingruichem.com.cn
139059,47828,"aoyuan beauty valley technology co.,ltd.",china,1.543 billion usd,,,,,,,,,,,,"aoyuan beauty valley technology co.,ltd.",,,,,,,,,,,,,
120993,63697,st. james's place,uk,,1991,,financial services insurance conglomerate,,not found,23498 million usd,,,,,,st. james's place,,,,,insurance,,,$24.4b,,,,,
