id_1,id_2,l_name,l_country,l_market cap,l_founded year,l_employees,l_industry,l_sector,l_ceo,l_revenue,l_stock,l_share price,l_city,l_address,l_website,r_name,r_country,r_market cap,r_founded year,r_employees,r_industry,r_sector,r_ceo,r_revenue,r_stock,r_share price,r_city,r_address,r_website
100160,24449,impinj,usa,$3.05 b,,,,,,,,$117.81,,,,impinj,usa,$2.95 b,,,,,,,,$114.06,,,
116018,24494,sprout social,usa,$3.29 b,,,,,,,,$60.07,,,,sprout social,usa,$3.07 b,,,,,,,,$56.08,,,
83591,53923,cloudflare,usa,,,,,,,,,$43.93,,,,cloudflare,usa,,2009,,technology software and it infrastructure cloud services security systems and solutions network hardware and software software and it,,matthew prince,656 million usd,,,,,
116171,99901,atco,canada,$3.72 b,,,,,,,,$32.61,,,,atco,canada,$3.65 b,,,,,,,,$32.19,,,
66556,12655,henry schein,,,1932.0,,health care equipment services,,,$12.4b,,,,,,henry schein,usa,,,,,,,,,82,,,
13215,2687,hankyu hanshin holdings,japan,,,,,,,,,28,,,,hankyu hanshin holdings,japan,7.236 billion usd,,,,,,,,,,,
129879,62168,crest nicholson holdings,,,,,,,,,,,,,,crest nicholson holdings,uk,,not found,,consumer cyclical construction real estate,,not found,926 million usd,,,,,
148714,49722,age of learning,united states,,,,edtech,,,,,,glendale,,,age of learning,,,,,,,,,,,,,httpswww.ageoflearning.com
52433,681,h & m hennes & mauritz ab,sweden,,,153000,,consumer cyclical,helena helmersson,20892 million usd,,,,,,h & m hennes & mauritz ab,sweden,35.710 billion usd,,,,,stefan persson,,,,,,
183392,90861,national bank of canada,,c$32.92 billion,,27804,,,mr. laurent ferreira,,,,,,,national bank of canada,canada,,,,,financials,,,,,,,
100026,24570,essential properties realty trust,usa,$3.33 b,,,,,,,,$23.36,,,,essential properties realty trust,usa,$3.32 b,,,,,,,,$23.26,,,
159136,135005,vadilal industries,india,$0.23 b,,,,,,,,$32.01,,,,vadilal industries,,,1907 116 yrs old,,fmcg,,,,,,,,
187645,44138,marriott vacations worldwide corporation,,$6.64 billion,,20300,,,mr. stephen p. weisz,,,,,,,marriott vacations worldwide corporation,,,,20300,,,,,,,,,httpswww.marriottvacationsworldwide.com
151052,32039,nio inc,china,46.60 billion usd,2014.0,7763,,,,,,,,,,nio inc,,,,7763,,,,,,,,,httpswww.nio.com
156774,60300,superior plus,canada,$1.71 b,,,,,,,,$8.48,,,,superior plus,canada,,1996,,utilities chemicals gas utilities fertilizers,,not found,1839 million usd,,,,,
169884,67447,repsol sa,spain,,,,oil gas integrated,energy,,,rep,,,,,repsol sa,,,,employees 23268,,,ceo mr. josu jon imaz san miguel ph.d.,,,,,,
46308,36300,"guangdong lyric robot automation co., ltd.",,,,,,,,,,,,,httpwww.lyricrobot.com,"guangdong lyric robot automation co., ltd.",,,,,,,,,,,,,httpwww.lyricrobot.com
109975,96706,vestas wind systems a-s,denmark,$29.93 b,,29427,specialty industrial machinery,industrials,mr. henrik andersen,,vws,,,,,vestas wind systems a-s,denmark,$29.93 b,,,specialty industrial machinery,industrials,,,vws,,,,
165758,15275,hanmi pharmaceutical,south korea,$1.69 b,,,,,,,,$24.65,,,,hanmi pharmaceutical,s. korea,,,,,,,,,24,,,
63007,41330,ww international,usa,,not found,,consumer cyclical healthcare service consumer services,,not found,1212 million usd,,,,,,ww international,,,,7700,,,,,,,,,httpscorporate.ww.com
102216,20843,trueblue,usa,$0.63 b,,,,,,,,$19.32,,,,trueblue,usa,$0.65 b,,,,,,,,$19.89,,,
162872,12413,tryg,denmark,$14.98 b,,,,,,,,$23.68,,,,tryg,denmark,,,,,,,,,23,,,
123788,106813,etihad etisalat company,,,,,,,,,,,,,,etihad etisalat company,,$7.4b,,,technology and communications,,,$4.0b,,,,mobily c1 alyabis building 3rd floor p.o.box 9979 riyadh 11423,www.mobily.com.sa
87789,52207,angiodynamics,usa,,,,,,,,,$13.78,,,,angiodynamics,,,,800,,,,,,,,,httpswww.angiodynamics.com
110771,82785,saudi telecom company,saudi arabia,$49.83 b,,,,,,,,$9.98,,,,saudi telecom company,s. arabia,,,,,,,,,$10.11,,,
163099,74303,renault,france,$11.65 b,,,,,,,,$39.62,,,,renault,,,,,,,,,,,,,
83481,74317,aeon,japan,,,,,,,,,$19.63,,,,aeon,,,,,,,,,,,,,
134093,97762,fujitsu,,,1935 88 yrs old,,it services consulting,,,,,,,,,fujitsu,japan,$26.07 b,,,,,,,,$133.94,,,
40444,8851,yindu kitchen equipment co. ltd,,,,,,,,,,,,,httpwww.yinduchina.comen,yindu kitchen equipment co. ltd,china,1.408 billion usd,,,,,,,,,,,
132422,1268,omnicom group,united states,,1986,71700,media,,john d. wren,$14.3b,,,,,,omnicom group,usa,15.699 billion usd,,,,,john wren,,,,,,
32140,11832,arista networks,,,,2993,,,jayshree ullal,,,,,,httpswww.arista.com,arista networks,usa,,,,,,,,,112,,,
134345,11521,volkswagen,,,1937 86 yrs old,,automobile,,,,,,,,,volkswagen,germany,,,,,,,,,135,,,
166321,114725,matthews international corporation,usa,$1.10 b,,,,,,,,$36.19,,,,matthews international corporation,usa,$1.10 b,,,,,,,,$36.19,,,
113927,20913,anika therapeutics,usa,$0.45 b,,,,,,,,$30.94,,,,anika therapeutics,usa,$0.45 b,,,,,,,,$31.00,,,
102704,22523,traeger,usa,$0.37 b,,,,,,,,$3.07,,,,traeger,usa,$0.41 b,,,,,,,,$3.38,,,
63938,32888,ase technology holding,,,,,,,,,,,,,,ase technology holding,,,,95727,,,,,,,,,httpwww.aseglobal.comen
163400,55925,origin energy,australia,$8.75 b,,,,,,,,$5.08,,,,origin energy,australia,,2000,,energy utilities gas utilities electric utilities electricity generation power generation oil and gas,,not found,9958 million usd,,,,,
126090,5072,af poyry ab (publ),,,,17000,,,,,,,,,,af poyry ab (publ),sweden,3.750 billion usd,,,,,,,,,,,
126807,47429,jiangsu yulong steel pipe,,,,,,,,,,,,,,jiangsu yulong steel pipe,,,,,,,,,,,,,httpwww.yulongsteelpipe.comen
55335,2056,dongfang electric corporation,china,,1984,,industries industry machinery power equipment,,not found,7506 million usd,,,,,,dongfang electric corporation,china,6.976 billion usd,,,,,,,,,,,
128435,114987,russel metals,,,,,,,,,,,,,,russel metals,canada,$1.40 b,,,,,,,,$22.43,,,
162261,31903,mediatek,taiwan,$36.42 b,,,,,,,,$22.89,,,,mediatek,,,,17377,,,rick tsai,,,,,,httpswww.mediatek.com
61112,39425,ningbo changhong polymer scientific and technical inc.,china,,not found,,basic materials chemicals,,not found,not found,,,,,,ningbo changhong polymer scientific and technical inc.,,,,,,,,,,,,,httpwww.changhongpolymer.com
132257,71249,fidelity national financial,united states,,1847,28290,insurance,,michael j. nolan,$15.6b,,,,,,fidelity national financial,united states,$11.58 b,,,,,,,,,,,
183981,96410,bnp paribas sa,,€63.26 billion,,190000,,,mr. jeanlaurent bonnafe,,,,,,,bnp paribas sa,france,$69.90 b,,,banks,financials,,,bnp,,,,
163150,54384,boston properties,usa,$11.16 b,,,,,,,,$71.20,,,,boston properties,usa,,1970,,real estate property investments investments consumer services commercial properties,,owen d. thomas,2888 million usd,,,,,
29968,29281,autovia,italy,,2005,80,travel leisure,,,15.0,,,,,,autovia,italy,,2005,67,travel leisure,,,39.00,,,,,
97819,26069,goodman group,australia,$23.59 b,,,,,,,,$12.55,,,,goodman group,australia,$23.07 b,,,,,,,,$12.27,,,
133763,103683,reliance communications,,,2002 21 yrs old,,telecom,,,,,,,,,reliance communications,india,$68.65 m,,,,,,,,$0.02000,,,
67204,19085,cosco shipping holdings co ltd,,,,employees 29379,,,,,,,,,,cosco shipping holdings co ltd,china,us$28.93 billion,,29379,marine shipping,industrials,,,,,,,
108831,52327,compagnie financiere richemont sa,,$79.0b,,35853,consumer packaged goods,,,$22.7b,,,,chemin de la chenaie 50 bellevue 1293,www.richemont.com,compagnie financiere richemont sa,switzerland,,,34760,,consumer cyclical,jerome lambert,19915 million usd,,,,,
110150,108281,carnival corporation & plc,united states,$23.29 b,1972,40000,travel services,consumer discretionary,mr. arnold w. donald,,ccl,,,,,carnival corporation & plc,,$13.0b,,39000,leisure and arts,,,$12.2b,,,,3655 north west 87th avenue po box 1347 miami florida 33178,www.carnivalcorp.com
110930,26178,hexagon,sweden,$31.20 b,,,,,,,,$11.64,,,,hexagon,sweden,$30.48 b,,,,,,,,$11.48,,,
45768,35760,huitongda,,,,,,,,,,,,,httpstracxn.com,huitongda,,,,,,,,,,,,,httpstracxn.com
83952,1399,jd sports fashion,uk,,,,,,,,,$1.96,,,,jd sports fashion,uk,14.799 billion usd,,,,,,,,,,,
95612,50218,banc of california,,$1.04 b,,673.0,,,,$0.33 b,,$17.33,,,,banc of california,,,,,,,,,,,,,httpsbancofcal.com
166461,43635,novavax,usa,$0.98 b,,,,,,,,$11.55,,,,novavax,,,,375,,,,,,,,,httpswww.novavax.com
67318,18753,bt group plc,,,founded 18 june 1846,employees 99700,,,ceo mr. philip eric rene jansen,,,,,,,bt group plc,united kingdom,us$24.09 billion,18 june 1846,99700,telecom services,communication services,mr. philip eric rene jansen,£21.370 billion 2021,,,,,
171981,68443,3a antioxidants,spain,,2000,23,,chemicals pharmaceuticals,,7704000,,,,,,3a antioxidants,spain,,2000,,,chemicals pharmaceuticals,,,,,,,
185505,108963,ferguson plc,,£23.27 billion,,31000,,,mr. kevin murphy,,,,,,,ferguson plc,,$28.5b,,36000,wholesale,,,$28.6b,,,,1020 eskdale road winnersh triangle wokingham rg415ts,www.fergusonplc.com
124710,3726,bwx technologies,,,,6600,,,,,,,,,,bwx technologies,usa,5.466 billion usd,,,,,,,,,,,
127923,60207,at & s austria technologie & systemtechnik,,,,,,,,,,,,,,at & s austria technologie & systemtechnik,austria,,1987,,technology electronics capital goods,,not found,not found,,,,,
125563,57861,big shopping centers ltd,,,,86,,,,,,,,,,big shopping centers ltd,israel,,1994,,real estate,,not found,554 million usd,,,,,
95979,24011,silk road medical,,$2.20 b,,352.0,,,,$0.12 b,,$57.79,,,,silk road medical,usa,$2.01 b,,,,,,,,$52.88,,,
116159,14220,icade,france,$3.69 b,,,,,,,,$47.02,,,,icade,france,,,,,,,,,46,,,
80719,76877,t. adelodun engineering solutions limited,,,,,,,,,,,,,,t. adelodun engineering solutions limited,,,,,,,,,,,,,
91009,18789,"dai-ichi life holdings, inc.",japan,,,,,financials,,,8750,,,,,"dai-ichi life holdings, inc.",japan,us$21.76 billion,,64823,insurancelife,financials,,,,,,,
145575,115618,mandarin oriental,,,,,,,,,,,,,,mandarin oriental,hong kong,$2.42 b,,,,,,,,$1.92,,,
155830,16305,idreamsky,china,$0.76 b,,,,,,,,$0.54,,,,idreamsky,china,,,,,,,,,1,,,
49799,8194,juanpi,,,,,,,,,,,,,,juanpi,china,7693,,,,,,,,,,,
84984,2695,fox factory holding,usa,,,,,,,,,$109.54,,,,fox factory holding,usa,6.470 billion usd,,,,,,,,,,,
47457,5856,united energy group,,,,1903,,,,,,,,,httpuegl.com.hksc,united energy group,hong kong,4.067 billion usd,,,,,,,,,,,
145965,12069,sandvik,,,1862,,industrials,industrial engineering,,,,,,,,sandvik,sweden,,,,,,,,,19,,,
154821,53374,intuit,usa,$111.95 b,,,,,,,,$398.54,,,,intuit,usa,,1983,,technology software and it software products,,suzanne nora johnson,12726 million usd,,,,,
159193,22767,kelly services,usa,$0.65 b,,,,,,,,$17.44,,,,kelly services,usa,$0.57 b,,,,,,,,$15.29,,,
45216,3617,anhui honglu steel construction(group) co. ltd,,,,,,,,,,,,,httpwww.honglu.com,anhui honglu steel construction(group) co. ltd,china,4.409 billion usd,,,,,,,,,,,
167636,17139,astra microwave,india,$0.30 b,,,,,,,,$3.46,,,,astra microwave,india,,,,,,,,,3,,,
122447,1463,10x genomics,,,,1148,,,serge saxonov,,,,,,,10x genomics,usa,19.507 billion usd,,,,,john r. stuelpnagel d.v.m,,,,,,
148501,49707,razorpay,india,,,,fintech,,,,,,bengaluru,,,razorpay,,,,,,,harshil mathur,,,,,,httpsrazorpay.com
