id_1,id_2,l_name,l_country,l_market cap,l_founded year,l_employees,l_industry,l_sector,l_ceo,l_revenue,l_stock,l_share price,l_city,l_address,l_website,r_name,r_country,r_market cap,r_founded year,r_employees,r_industry,r_sector,r_ceo,r_revenue,r_stock,r_share price,r_city,r_address,r_website,label
152555,98899,kadokawa,japan,$2.56 b,,,,,,,,$18.39,,,,rakuten,japan,$7.29 b,,,,,,,,$4.59,,,,0
165291,15209,cbiz,usa,$2.39 b,,,,,,,,$47.03,,,,interdigital,usa,,,,,,,,,58,,,,0
114195,13333,tpg real estate finance trust,usa,$0.62 b,,,,,,,,$8.11,,,,affiliated managers group,usa,,,,,,,,,165,,,,0
152298,87019,sl green realty,usa,$2.45 b,,,,,,,,$38.05,,,,merchants bancorp,usa,,,,,,,,,$25.37,,,,0
119788,117618,eurostar group limited,united kingdom,,,,,,,,,,london,6th floor kings place 90 york way,,baird group limited,united kingdom,,,,,,,,,,leeds,2100 century way thorpe park,,0
99608,84397,maximus,usa,$4.43 b,,,,,,,,$72.90,,,,karuna therapeutics,usa,,,,,,,,,$200.75,,,,0
22227,1441,baozun,china,$0.26 b,,,,,,,,$4.57,,,,bank of nanjing,china,14.440 billion usd,,,,,,,,,,,,0
113682,27242,shriram pistons & rings,india,$0.32 b,,,,,,,,$14.78,,,,grabon,india,,2013,54.0,advertising,,,5.39,,,,,,0
117539,97045,"getty images, inc.",united states,,,,,,,,,,seattle,605 5th ave s ste 400,,warner music group corp.,united states,$19.21 b,,,entertainment,communication services,,,wmg,,,,,0
157280,86065,celsion corporation,usa,$13.91 m,,,,,,,,$1.96,,,,cedar fair,usa,,,,,,,,,$41.91,,,,0
96862,96111,"stanley black & decker, inc.",united states,$23.57 b,,,tools accessories,industrials,,,swk,,,,,the procter & gamble company,united states,$384.60 b,,,household personal products,consumer staples,,,pg,,,,,0
171161,28850,audiosalus,italy,,2011,12.0,,retail,,1569480,,,,,,studio eko’,italy,,2011,10.0,management consulting,,,1740660,,,,,,0
114044,60068,hyster-yale materials handling,usa,$0.52 b,,,,,,,,$31.22,,,,tpg inc.,usa,,1992,,asset management investments financial services,,not found,not found,,,,,,0
58892,11844,kenedix office investment corporation,japan,,not found,,real estate property investments,,not found,229 million usd,,,,,,hoya,japan,,,,,,,,,95,,,,0
164614,102828,h.b. fuller,usa,$3.69 b,,,,,,,,$68.85,,,,f45 training,usa,$0.32 b,,,,,,,,$3.33,,,,0
15438,6790,grosvenor capital management,usa,,,,,,,,,8,,,,"globalstar, inc.",usa,3.568 billion usd,,,,,,,,,,,,0
102556,6849,vigil neuroscience,usa,$0.44 b,,,,,,,,$12.50,,,,cal-maine foods,usa,1.767 billion usd,,,,,,,,,,,,0
111701,103592,apartment income reit,usa,$5.43 b,,,,,,,,$36.25,,,,westwood holdings group,usa,$91.78 m,,,,,,,,$10.91,,,,0
144495,9081,souche holdings,china,,2012,,ecommerce directtoconsumer,,,,,,hangzhou,,,hainan yedao (group),china,1.183 billion usd,,,,,,,,,,,,0
157614,9224,u.s. gold corp,usa,$42.57 m,,,,,,,,$5.09,,,,ready capital corporation,usa,1.094 billion usd,,,,,,,,,,,,0
102146,7031,atn international,usa,$0.66 b,,,,,,,,$42.38,,,,hni corporation,usa,1.662 billion usd,,,,,,,,,,,,0
97357,87141,adani enterprises,india,$55.94 b,,,,,,,,$49.07,,,,graphite india,india,,,,,,,,,$4.66,,,,0
89474,55056,precipio,usa,,,,,,,,,$0.77,,,,bruker corporation,usa,,1960,,healthcare biotechnology medical equipment technology capital goods,,not found,2417 million usd,,,,,,0
148957,144492,alphasense,united states,,,,artificial intelligence,,,,,,new york,,,verkada,united states,,2016,,cybersecurity,,,,,,san mateo,,,0
85647,3976,wsfs financial,usa,,,,,,,,,$48.69,,,,hudson pacific properties,usa,4.051 billion usd,,,,,,,,,,,,0
65049,2710,china national nuclear power,china,,,,,,,$9.6 b,,,,,,china greatwall technology group,china,6.470 billion usd,,,,,,,,,,,,0
119850,18830,"aemetis, inc.",united states,,,,,,,,,,cupertino,20400 stevens creek blvd ste 700,,"avis budget group, inc.",united states,$18.12 billion,2006,16000.0,rental leasing services,industrials,mr. joseph a. ferraro,us$9.172 billion 2019,,,,,,0
59162,23225,overstock.com,usa,,1997,,consumer cyclical consumer services retail internet or mobile app based business ecommerce,,not found,2756 million usd,,,,,,puretech health,usa,$0.95 b,,,,,,,,$33.00,,,,0
166741,112911,iteos therapeutics,usa,$0.77 b,,,,,,,,$21.70,,,,sellas life sciences,usa,$67.32 m,,,,,,,,$3.27,,,,0
166785,104020,maverix metals,canada,$0.74 b,,,,,,,,$5.00,,,,orosur mining,canada,$15.28 m,,,,,,,,$0.08000,,,,0
110966,99305,otis worldwide,usa,$33.22 b,,,,,,,,$79.75,,,,lincoln national corporation,usa,$5.47 b,,,,,,,,$32.38,,,,0
157604,19522,isoray,usa,$39.96 m,,,,,,,,$0.28,,,,oracle,usa,$212.40 b,,,,,,,,$78.78,,,,0
99182,86243,ashland,usa,$5.92 b,,,,,,,,$109.24,,,,prokidney,usa,,,,,,,,,$8.43,,,,0
88940,55346,relmada therapeutics,usa,,,,,,,,,$4.12,,,,levi strauss & co,usa,,1853,,consumer cyclical readymade clothing clothing retail apparels and accessories,,not found,5763 million usd,,,,,,0
118109,68425,renovo bioeconomy spa,italy,,,,,,,,,,mantova,via pietro verri 1,,aferetica,italy,,2013,,,health,,,,,,,,0
29376,178,hj tiefbau,germany,,2011,45.0,construction,,,8.3,,,,,,audi ag,germany,82.150 billion usd,,,,,,,,,,,,0
104058,15916,aileron therapeutics,usa,$11.98 m,,,,,,,,$2.64,,,,innovage,usa,,,,,,,,,7,,,,0
116174,12165,acom,japan,$3.72 b,,,,,,,,$2.38,,,,komatsu,japan,,,,,,,,,21,,,,0
114527,11837,hireright,usa,$0.90 b,,,,,,,,$11.35,,,,electronic arts,usa,,,,,,,,,124,,,,0
