id_1,id_2,l_name,l_country,l_market cap,l_founded year,l_employees,l_industry,l_sector,l_ceo,l_revenue,l_stock,l_share price,l_city,l_address,l_website,r_name,r_country,r_market cap,r_founded year,r_employees,r_industry,r_sector,r_ceo,r_revenue,r_stock,r_share price,r_city,r_address,r_website,label
137987,33820,mitsubishi heavy industries,,,1884 139 yrs old,,industrial machinery,,,,,,,,,mitsubishi heavy industries,,,,81631,,,,,,,,,httpswww.mhi.com,1
157060,115396,victory capital,usa,$2.01 b,,,,,,,,$29.41,,,,victory capital,usa,$2.02 b,,,,,,,,$29.51,,,,1
12154,1301,teck resources,canada,,,,,,,,,39,,,,teck resources,canada,12.038 billion usd,,,,,donald r. lindsay,,,,,,,1
53293,41608,tesla,usa,,2003,,electric vehicles cars automobile solar power devices capital goods power equipment technology passenger vehicles batteries electric vehicle charging station,,elon musk,53823 million usd,,,,,,tesla,,,,99290,,,elon musk,,,,,,httpswww.tesla.com,1
110978,32100,experian,ireland,$34.04 b,,,,,,,,$36.25,,,,experian,,,,17800,,,brian cassin,,,,,,httpswww.experianplc.com,1
157738,21628,tiziana life sciences,unitedkingdom,$63.4 m,,,,,,,,$0.62,,,,tiziana life sciences,uk,$62.51 m,,,,,,,,$0.61,,,,1
123492,71989,magnit,,,,300000,,,,,,,,,,magnit,russia,$5.49 b,,,,,,,,,,,,1
170739,150321,seagen inc.,united states,$24.87 b,,,biotechnology,healthcare,,,sgen,,,,,seagen inc.,,$24.87 billion,1997,2675,,,dr. clay b. siegall,,,,,,,1
164337,153279,husqvarna,sweden,$4.52 b,,,,,,,,$7.62,,,,husqvarna,sweden,$4.43 b,,,,,,,,$7.79,,,,1
125782,58075,cimc vehicle (group),,,,,,,,,,,,,,cimc vehicle (group),china,,not found,,industries heavy machinery,,not found,not found,,,,,,1
47952,15038,plus500,,,,,,,,,,,,,httpswww.plus500.com,plus500,israel,,,,,,,,,21,,,,1
72424,24576,taiwan business bank,taiwan,$3.48 b,,,,,,,,,,,,taiwan business bank,taiwan,$3.34 b,,,,,,,,$0.42,,,,1
165498,23983,alony hetz,israel,$2.05 b,,,,,,,,$11.42,,,,alony hetz,israel,$1.93 b,,,,,,,,$10.78,,,,1
112701,94523,sigmatron international,usa,$24.77 m,,,,,,,,$4.08,,,,sigmatron international,,$26.22 m,,3.1,,,,$0.40 b,,$4.32,,,,1
98605,72053,brenntag,germany,$9.52 b,,,,,,,,$61.64,,,,brenntag,germany,$12.46 b,,,,,,,,,,,,1
66634,19479,union pacific,,,founded 1969,employees 29905,,,ceo mr. lance m. fritz,,,,,,,union pacific,united states,$184.19 billion,1969,29905,railroads,industrials,mr. lance m. fritz,us$19.5 billion 2020,,,,,,1
152937,37909,telecom argentina,none,$3.48 b,,,,,,,,$6.47,,,,telecom argentina,,,,,,,,,,,,,httpwww.telecom.com,1
162014,73769,enel,italy,$62.41 b,,,,,,,,$6.14,,,,enel,,,,,,,,,,,,,,1
160356,68375,insetto,germany,,1999,79.0,,retail,,6010130,,,,,,insetto,germany,,1999,,,retail,,,,,,,,1
99525,85106,paycor,usa,$4.73 b,,,,,,,,$26.92,,,,paycor,usa,,,,,,,,,$24.27,,,,1
14300,5994,black stone minerals,usa,,,,,,,,,15,,,,black stone minerals,usa,2.086 billion usd,,,,,,,,,,,,1
151345,91040,applovin corp,usa,30.11 billion usd,2012.0,1594,,,adam foroughi,,,,,,,applovin corp,united states,,,,,technology,,,app,,,,,1
111053,52528,thales,france,$27.20 b,,,,,,,,$128.37,,,,thales,france,,,80702,,industries,patrice caine,17844 million usd,,,,,,1
183976,90632,capgemini se,,€34.23 billion,,324700,,,mr. aiman ezzat,,,,,,,capgemini se,france,,,,,technology,,,cap,,,,,1
85820,14713,safestore,uk,,,,,,,,,$12.25,,,,safestore,uk,,,,,,,,,11,,,,1
115779,46668,port of tauranga,new zealand,$2.75 b,,,,,,,,$4.04,,,,port of tauranga,,,,238,,,,,,,,,httpswww.porttauranga.co.nz,1
127392,6408,hanwha aerospace,,,,2036,,,,,,,,,,hanwha aerospace,south korea,2.192 billion usd,,,,,,,,,,,,1
123474,44093,m&g plc,,,,5961,,,,,,,,,,m&g plc,,,,5961,,,,,,,,,httpswww.mandg.co.uk,1
85064,24739,paytm,india,,,,,,,,,$6.81,,,,paytm,india,$4.00 b,,,,,,,,$6.17,,,,1
99289,57246,grupo simec,mexico,$5.50 b,,,,,,,,$32.30,,,,grupo simec,mexico,,1996,,basic materials iron and steel,,not found,2792 million usd,,,,,,1
160413,73619,die wuhlewanderer,germany,,2013,95.0,,health,,4970000,,,,,,die wuhlewanderer,germany,,2013,,,health,,4970000,,,,,,1
123973,56274,bosideng international holdings,,,,,,,,,,,,,,bosideng international holdings,china,,not found,,consumer cyclical retail textile apparels and accessories,,not found,2359 million usd,,,,,,1
129147,49770,flash ex,,,,,,,,,,,,,,flash ex,,,,,,,,,,,,,,1
176271,106083,europcar mobility group sa,,€2.20 billion,,7876,,,ms. caroline parot,,,,,,,europcar mobility group sa,,,,7876,transport and logistics,,,$2.7b,,,,13 ter boulevard berthier paris 75017,europcarmobilitygroup.com,1
