id_1,id_2,l_name,l_country,l_market cap,l_founded year,l_employees,l_industry,l_sector,l_ceo,l_revenue,l_stock,l_share price,l_city,l_address,l_website,r_name,r_country,r_market cap,r_founded year,r_employees,r_industry,r_sector,r_ceo,r_revenue,r_stock,r_share price,r_city,r_address,r_website
113225,21928,foseco india,india,$0.16 b,,,,,,,,$25.22,,,,foseco india,india,$0.15 b,,,,,,,,$24.35,,,
169264,108742,eaton corporation plc,ireland,,,,specialty industrial machinery,industrials,,,etn,,,,,eaton corporation plc,,$62.6b,,85947,industrial goods and machinery,,,$19.6b,,,,eaton house 30 pembroke road dublin d04y0c2,www.eaton.com
170989,97075,gf securities co. ltd,china,$18.44 b,,,capital markets,financials,,,000776,,,,,gf securities co. ltd,china,$18.44 b,,,capital markets,financials,,,000776,,,,
170933,97019,renesas electronics corp,japan,$19.73 b,,,semiconductors,technology,,,6723,,,,,renesas electronics corp,japan,$19.73 b,,,semiconductors,technology,,,6723,,,,
132693,1588,jones lang lasalle,united states,,1783,98200,construction,,christian ulbrich,$19.5b,,,,,,jones lang lasalle,usa,12.327 billion usd,,,,,,,,,,,
183890,109339,enel spa,,€63.49 billion,,66279,,,mr. francesco starace,,,,,,,enel spa,,$63.2b,,67117,power,,,$99.4b,,,,viale regina margherita 137 rome lazio 00198,www.enel.com
121380,71171,murata manufacturing,,,,75184,,,tsuneo murata,,,,,,,murata manufacturing,japan,$38.94 b,,,,,,,,,,,
98775,25395,alcoa,usa,$8.05 b,,,,,,,,$45.50,,,,alcoa,usa,$8.24 b,,,,,,,,$46.60,,,
154989,12399,bt group,unitedkingdom,$15.65 b,,,,,,,,$1.58,,,,bt group,uk,,,,,,,,,2,,,
162646,97938,dover,usa,$19.55 b,,,,,,,,$139.34,,,,dover,usa,$19.74 b,,,,,,,,$140.70,,,
162656,83385,powergrid corporation of india,india,$19.16 b,,,,,,,,$2.75,,,,powergrid corporation of india,india,,,,,,,,,$2.65,,,
110676,74258,boston scientific,usa,$66.74 b,,,,,,,,$46.60,,,,boston scientific,,,,,,,,,,,,,
35361,3764,national general holdings,,,,9200,,,,,,,,,httpir.nationalgeneral.com,national general holdings,usa,3.879 billion usd,,,,,,,,,,,
114929,20718,ecovyst,usa,$1.33 b,,,,,,,,$10.22,,,,ecovyst,usa,$1.16 b,,,,,,,,$8.97,,,
119984,117172,advice technology petroleum srl,italy,,,,,,,,,,fidenza,via giorgio perlasca 20c 13,,advice technology petroleum srl,italy,,,,,,,,,,fidenza,via giorgio perlasca 20c 13,
83281,12138,east japan railway,japan,,,,,,,,,$55.76,,,,east japan railway,japan,,,,,,,,,55,,,
96801,54083,laboratory corporation of america holdings,united states,$25.75 b,,,diagnostics research,healthcare,,,lh,,,,,laboratory corporation of america holdings,usa,,1978,,healthcare health care diagnostics healthcare service healthcare products,,adam h. schechter,16120 million usd,,,,,
52650,19896,allegion,ireland,,,11000,,industries,,2867 million usd,,,,,,allegion,ireland,$9.58 b,,,,,,,,$109.15,,,
61713,40032,china tobacco international (hk) company,hong kong,,not found,,consumer defensive tobacco products tobacco and cigarette cigarettes,,not found,1028 million usd,,,,,,china tobacco international (hk) company,,,,,,,,,,,,,httpwww.ctihk.com.hk
114191,16599,ardelyx,usa,$0.62 b,,,,,,,,$3.14,,,,ardelyx,usa,,,,,,,,,3,,,
115277,100964,northwest healthcare properties reit,canada,$1.80 b,,,,,,,,$7.47,,,,northwest healthcare properties reit,canada,$1.75 b,,,,,,,,$7.27,,,
49981,15953,gungho online entertainment,,,,1252,,,,,,,,,httpswww.gungho.co.jpen,gungho online entertainment,japan,,,,,,,,,16,,,
