"Declining stem","English derivatives","Citation form","Meaning"
"abdomin-","abdomen, abdominal, abdominous, intraabdominal","abdomen","belly"
"accipitr-","Accipiter, accipitrine","accipiter","hawk"
"acer-","aceric","acer","maple"
"ācr-","acrid, acridine, acridity, acrimonious, acrimony, acritude, acrity, acrolein, eager, vinegar","ācer","sharp"
"acerb-","acerbic, acerbity, exacerbate, exacerbation","acerbus • acerbior • acerbissimus","bitter"
"acerv-","acerval, acervate, acervation, acervative, acervose, Acervulinacea, acervuline, acervulus, coacervate, coacervation","acervus","heap"
"acervul-","acerval, acervate, acervation, acervative, acervose, Acervulinacea, acervuline, acervulus, coacervate, coacervation","†acervulus","heap"
"acēt-","acetabuliform, acetabulum, acetate, acetic, acetone, aceturic, triacetate","acētum","vinegar"
"acin-","acinaceous, acinar, acinarious, aciniform, acinose, acinous, acinus, interacinous","acinus","berry"
"acer-","acerose","acus","chaff"
"acū-","acicular, acuity, aculeate, aculeolate, aculeus, acumen, acuminate, acupuncture, acusector, acutance, acute, acutifoliate, acutilingual, acutilobate, aiguille, cute, eglantine, nonacuity, peracute, subacute","acus","needle"
"acicul-","acicular, acuity, aculeate, aculeolate, aculeus, acumen, acuminate, acupuncture, acusector, acutance, acute, acutifoliate, acutilingual, acutilobate, aiguille, cute, eglantine, nonacuity, peracute, subacute","†acicula","needle"
"acul-","acicular, acuity, aculeate, aculeolate, aculeus, acumen, acuminate, acupuncture, acusector, acutance, acute, acutifoliate, acutilingual, acutilobate, aiguille, cute, eglantine, nonacuity, peracute, subacute","†acula","needle"
"adip-","adipocere, adipose","adeps","fat"
"aed-","aedicule, aedile, cavaedium, edification, edifice, edile","aedes, aedis","building"
"aedicul-","aedicule, aedile, cavaedium, edification, edifice, edile","†aedicula","building"
"aemul-, im-","emulate, emulation, emulator, emulous, image, imagerial, imagery, imagination, imaginative, imagine, imitable, imitate, imitation, inimitable, preimage, subimago","aemulus",""
"aequ-, -iqu-","adequacy, adequality, adequate, disequilibrium, equable, equal, equality, equanimity, equant, equation, equational, equative, equator, equatorial, equilibrium, equitable, equity, equivalence, equivalent, inadequacy, inadequate, inequality, iniquitous, iniquity","aequus","even, level"
"aer-","aeneator, aeneous, aeruginous, aerugite, aerugo, aim, disesteem, eruginous, esteem, estimable, estimate, inestimable","aes","ore"
"aest-","aestival, aestivate, aestivation, estivate, estivator","aestas","summer"
"aestu-","estuarial, estuarine, estuary","aestus",""
"aet-","coetaneity, coetaneous","aetās","age"
"aev-","age, coeternal, coeval, coevality, eternal, eterne, eviternal, grandevity, grandevous, longevity, longevous, mediaeval, nonage, premediaeval, primaeval, primeval","aevum","age, eon"
"agr-, -egr-","agrarian, agrestal, agricultural, agriculture, nonagrarian, nonagricultural, peragration, peregrine, peregrinus, pilgrim, pilgrimage","ager","field"
"agrell-","agrarian, agrestal, agricultural, agriculture, nonagrarian, nonagricultural, peragration, peregrine, peregrinus, pilgrim, pilgrimage","†agrellus","field"
"āl-","aileron, aisle, alar, alate, aliferous, aliform, aligerous","āla","wing"
"alacr-","alacritous, alacrity, allegresse, allegretto, allegro","alacer • alacrior","quick"
"alb-","alb, alba, albarium, albedo, albino, albite, album, albumen, albumin, aubade","albus • albior • albissimus","dull white"
"alg-","algae, algal, algicidal, algicide","alga","seaweed"
"ali-","abalienate, alias, alibi, alien, alienability, alienable, alienate, alienation, aliquot, inalienability, inalienable, nonalien","alius","other"
"alli-","Allium","allium, ālium","garlic"
"alter-","adulterant, adulterate, adulteration, adulterine, adulterous, adultery, alter, alter ego, alterability, alterable, alterant, alteration, alterative, inalterable","alter","other"
"altern-","altern, alternant, alternate, alternation, alternative, alternator, bialternant","alternus",""
"alve-","alveolar, alveolate, alveolus, interalveolar, postalveolar","alveus",""
"alveol-","alveolar, alveolate, alveolus, interalveolar, postalveolar","†alveolus",""
"amar-","amarelle, amaretti, amaretto, amarine, amaritude, amaro","amārus","bitter"
"amb-","ambient, ambiguous","ambō","both"
"amoen-","amenity","amoenus",""
"ampl-","ample, ampliate, ampliation, amplification, amplitude","amplus • amplior • amplissimus","ample"
"anat-","Anas, anatine","anas","duck"
"ancūl-","ancillary","ancūla",""
"ancill-","ancillary","†ancilla",""
"angu-","Anguidae, anguiform, Anguilla, anguilliform, anguine, anguineous","anguis","snake"
"anguicul-","Anguidae, anguiform, Anguilla, anguilliform, anguine, anguineous","anguiculus","snake"
"anguill-","Anguidae, anguiform, Anguilla, anguilliform, anguine, anguineous","†anguilla","snake"
"angul-","angular, angularity, angulose, biangular, biangulate, equiangular, equiangularity, multangular, multiangular, nonrectangular, octangle, octangular, quadrangle, quadrangular, quinquangular, rectangle, rectangular, semiangle, semiangular, septangle, septangular, sexangle, sexangular, triangle, triangular, triangularity, triangulation","angulus","corner"
"angell-","angular, angularity, angulose, biangular, biangulate, equiangular, equiangularity, multangular, multiangular, nonrectangular, octangle, octangular, quadrangle, quadrangular, quinquangular, rectangle, rectangular, semiangle, semiangular, septangle, septangular, sexangle, sexangular, triangle, triangular, triangularity, triangulation","†angellus","corner"
"anim-","anima, animal, animalcule, animate, animation, animato, animator, exanimate, inanimate, reanimate","anima","breath, life, soul"
"anim-","animadversion, animose, animosity, animus, equanimity, equanimous, multanimous, nonunanimous, pusillanimity, pusillanimous, unanimity, unanimous","animus","mind, anger"
"ann-, -enn-","annals, annates, anniversary, annotinous, annual, annuity, biannual, bicentennial, biennial, bimillennial, centennial, millennial, millennium, perennate, perennial, semiannual, superannuate, triennial, triennium","annus","year"
"ānser-","Anser, anserine","ānser","goose"
"antenn-","antenna, antennal, antennule","antenna",""
"an-","anal, annelid, Annelida, annular, annulate, annulation, annulus, anus, biannulate, circumanal, exannulate, penannular, semiannular, subanal","ānus","ring"
"anul-","anal, annelid, Annelida, annular, annulate, annulation, annulus, anus, biannulate, circumanal, exannulate, penannular, semiannular, subanal","†ānulus","ring"
"anell-","anal, annelid, Annelida, annular, annulate, annulation, annulus, anus, biannulate, circumanal, exannulate, penannular, semiannular, subanal","†ānellus","ring"
"ap-","apian, apiarian, apiary, apiculture","apis","bee"
