"English","TSE","Rōmaji","Japanese"
"Saitama Resona Bank","","Saitama Risona Ginkō","埼玉りそな銀行"
"San-Ai Oil","TYO: 8097","San-ai Sekiyu Kabushiki Kaisha","三愛石油株式会社"
"Sanden","TYO: 6444","Sanden Kabushiki-gaisha","サンデン株式会社"
"Santen Pharmaceutical","TYO: 4536","Santen Seiyaku Kabushiki-gaisha","参天製薬株式会社"
"Sanrio","TYO: 8136","Kabushiki-gaisha Sanrio","株式会社サンリオ"
"Sansui Electric","TYO: 6793","Sansui Denki Kabushiki-gaisha","山水電気株式会社"
"Sanyo","TYO: 6764","San'yō Denki Kabushiki-gaisha","三洋電機株式会社"
"Sapporo Beer","","Sapporo Bīru Kabushiki-gaisha","サッポロビール株式会社"
"Sanwa Electronic Instrument Co., Ltd.","","Sanwa Denshi Kiki Kabushiki-gaisha","三和電子機器株式会社"
"SARD","","Kabushiki-gaisha Saado","株式会社サード"
"Secom","TYO: 9735","Sekomu Kabushiki-gaisha","セコム株式会社"
"Sega","","Kabushiki-gaisha Sega","株式会社セガ"
"Sega Sammy Holdings","TYO: 6460","Sega Samī Hōrudingusu Kabushiki-gaisha","セガサミーホールディングス株式会社"
"Seibu Railway","","Seibu Tetsudō Kabushiki-gaisha","西武鉄道株式会社"
"Seiko","TYO: 8050","Seikō Kabushiki-gaisha","セイコー株式会社"
"Seiko Epson","TYO: 6724","Seikō Epuson Kabushiki-gaisha","セイコーエプソン株式会社"
"Seikosha","","Seikōsha","精工舎"
"Seiyu Group","TYO: 8268","Seiyū Gurūpu","西友グループ"
"Sekisui House","TYO: 1928","Sekisui Hausu","積水ハウス"
"Seven & I Holdings Co.","TYO: 3382","Kabushiki-gaisha Sebun & Ai Hōrudingusu","株式会社セブン&アイ・ホールディングス"
"Sharp Corporation","TYO: 6753","Shāpu Kabushiki-gaisha","シャープ株式会社"
"Shikoku Electric Power","TYO: 9507","Shikoku Denryoku Kabushiki-gaisha","四国電力株式会社"
"Shikoku Railway Company","","Shikoku Ryokaku Tetsudō Kabushiki-gaisha","四国旅客鉄道株式会社"
"Shimano","TYO: 7309","Kabushiki-gaisha Shimano","株式会社シマノ"
"Shimadzu Corporation","TYO: 7701","Kabushiki-gaisha Shimadzu Seisakusho","株式会社島津製作所"
"Shimizu Corporation","TYO: 1803","Shimizu Kensetsu Kabushiki-gaisha","清水建設株式会社"
"Shin-Etsu Chemical","TYO: 4063","Shin'etsu Kagaku Kōgyō","信越化学工業"
"Shin-Keisei Electric Railway","TYO: 9014","Shin-Keisei Dentetsu","新京成電鉄"
"Shinano Kenshi Co., Ltd. Well known for Plextor.","","Shinano Kenshi Kabushiki-gaisha","シナノケンシ株式会社"
"Shinsei Bank","TYO: 8303","Kabushiki-gaisha Shinsei Ginkō","株式会社新生銀行"
"Shiseido (cosmetics)","TYO: 4911","Kabushiki-gaisha Shiseidō","株式会社資生堂"
"Shizuoka Bank","TYO: 8355","Shizuoka Ginkō","静岡銀行"
"Shoei","TYO: 7839","Kabushiki-gaisha Shōei","株式会社ショウエイ"
"Shonai Bank","TYO: 8347","Kabushikigaisha Shōnai Ginkō","株式会社 荘内銀行"
"Showa Denko","TYO: 4004","Shōwa Denkō Kabushiki-gaisha","昭和電工株式会社"
"Showa Shell Sekiyu","TYO: 5002","Shōwa Sheru Sekiyu Kabushiki-gaisha","昭和シェル石油株式会社"
"Shueisha (manga publisher)","","Shūeisha","集英社"
"Sigma Corporation","","Kabushiki-gaisha Shiguma","株式会社シグマ"
"SKY Perfect","TYO: 4795","Kabushiki Gaisha Sukai Pāfekuto Komyunikēshonzu","株式会社スカイパーフェクト・コミュニケーションズ"
"SMC Corporation","TYO: 6273","Esu-emu-shī Kabushiki-gaisha","SMC株式会社"
"Smile Please",,"Yūgen gaisha SMILE PLEASE","有限会社SMILEPLEASE"
"SNK Playmore","","Esu-enu-kei Pureimoa","SNKプレイモア"
"Snow Brand Milk","TYO: 2262","Yukijirushi Nyūgyō","雪印乳業"
"Softbank","TYO: 9984","Sofutobanku Kabushiki-gaisha","ソフトバンク株式会社"
"Sogo","","Kabushiki-gaisha Sogō","株式会社そごう"
"Sojitz","TYO: 2768","Sōjitsu Kabushiki-gaisha","双日株式会社"
"Sompo Japan Insurance","TYO: 8755","Kabushiki-gaisha Songai Hoken Japan","株式会社損害保険ジャパン"
"Sony","TYO: 6758","Sonī Kabushiki-gaisha","ソニー株式会社"
"Sony Music Entertainment Japan","","Kabushiki gaisha Sonī Myūjikku Entateinmento","株式会社ソニー・ミュージックエンタテインメント"
"Square Enix","TYO: 9684","Kabushiki-gaisha Sukuwea Enikkusu","株式会社スクウェア・エニックス"
"Stanley Electric","TYO: 6923","Sutanrē Denki Kabushiki-gaisha","スタンレー電気株式会社"
"Star Micronics","","Sutā Seimitsu Kabushiki-gaisha","スター精密株式会社"
"Studio Ghibli","","Kabushiki-kaisha Sutajio Jiburi","株式会社スタジオジブリ"
"Subaru","","Subaru","スバル"
"Subaru Tecnica International","","Subaru Tekunika Intānashonaru Kabushiki-gaisha","スバルテクニカインターナショナル株式会社"
"Sugino",,"Kabushiki-gaisha Sugino Enjiniaringu","株式会社スギノエンジニアリング"
"Sumco","TYO: 3436","Kabushiki Kaisha Samuko","株式会社SUMCO"
"Sumitomo","","Sumitomo Gurūpu","住友グループ"
"Sumitomo Chemical","TYO: 4005","Sumitomo Kagaku Kabushiki-gaisha","住友化学株式会社"
"Sumitomo Electric","TYO: 5802","Sumitomo Denki Kōgyō","住友電気工業"
"Sumitomo Heavy Industries","TYO: 6302","Sumitomo Jū-kikai Kōgyō","住友重機械工業"
"Sumitomo Metal Industries","TYO: 5405","Sumitomo Kinzoku Kōgyō Kabushiki-gaisha","住友金属工業株式会社"
"Sumitomo Metal Mining","TYO: 5713","Sumitomo Kinzoku Kōzan Kabushiki-gaisha","住友金属鉱山株式会社"
"Sumitomo Mitsui Financial Group","TYO: 8316","Kabushiki-gaisha Mitsui Sumitomo Finansharu Gurūpu","株式会社三井住友フィナンシャルグループ"
"Sumitomo Mitsui Banking Corporation","","Mitsui Sumitomo Ginkō","三井住友銀行"
"Sumitomo Realty & Development","TYO: 8830","Sumitomo Fudōsan","住友不動産"
"Sumitomo Riko","TYO: 5191","Sumitomo Rikō Kabushiki-gaisha",""
"Sumitomo Rubber Industries, Ltd.","TYO: 5110","Sumitomo Gomu Kōgyo Kabushiki-gaisha","住友ゴム工業株式会社"
"Sumitomo Trust & Banking","TYO: 8403","Sumitomo Shintaku Ginkō","住友信託銀行"
"Sunrise","","Kabushiki-gaisha Sanraizu","株式会社サンライズ"
"Suntory","","Santorī Kabushiki-gaisha","サントリー株式会社"
"SR SunTour (Maeda Industries)","","San Tsuā","サンツアー"
"Suzuki","TYO: 7269","Suzuki Kabushikigaisha","スズキ株式会社"
"Sysmex","TYO: 6869","Shisumekkusu Kabushiki-gaisha","シスメックス"
