"English","Rōmaji","Ticker symbol","Japanese"
"T&D Holdings","Ti-ando-Di Hōrudingusu","TYO: 8795","T&Dホールディングス"
"Tadano Limited","Kabushiki-gaisha Tadano","TYO: 6395","株式会社タダノ"
"Taiheiyo Cement","Taiheiyō Semento Kabushiki-gaisha","TYO: 5233","太平洋セメント株式会社"
"Taisei Corporation","Taisei Kensetsu Kabushiki-gaisha","TYO: 1801","大成建設株式会社"
"Taisho Pharmaceutical","Taishō Seiyaku Kabushiki-gaisha","TYO: 4535","大正製薬株式会社"
"Taito Corporation","Taitō Kabushiki-gaisha","","タイトー株式会社"
"Taiyo Yuden","Taiyō Yūden","TYO: 6976","太陽誘電"
"Takashimaya","Kabushiki-gaisha Takashimaya","TYO: 8233","株式会社高島屋"
"Takata Corporation","Takata Kabushiki-gaisha","TYO: 7312","タカタ株式会社"
"Takeda Pharmaceutical","Takeda Yakuhin Kōgyō Kabushiki-gaisha","TYO: 4502","武田薬品工業株式会社"
"Takefuji","Kabushiki-gaisha Takefuji","TYO: 8564","株式会社武富士"
"Takenaka Corporation","Kabushiki-gaisha Takenaka Kōmuten","","株式会社竹中工務店"
"Takeuchi Manufacturing","Kabushiki-gaisha Takeuchi Seisakujo","TYO: 6432","株式会社竹内製作所"
"Tamiya Corporation","Kabushiki-gaisha Tamiya","","株式会社タミヤ"
"Tamron","Kabushiki-gaisha Tamuron","TYO: 7740","株式会社タムロン,"
"TDK Corporation","TDK Kabushiki-gaisha","TYO: 6762","TDK株式会社"
"TEAC Corporation","Tiakku Kabushiki-gaisha","TYO: 6803","ティアック株式会社"
"Teijin","Teijin Kabushiki-gaisha","TYO: 3401","帝人株式会社"
"Tenyo","Tenyo","","ja:テンヨー"
"Terumo","Terumo Kabushiki-gaisha","TYO: 4543","テルモ株式会社"
"Tiger Corporation","Taigā Mahōbin Kabushiki-gaisha","","タイガー魔法瓶株式会社"
"Toaplan","Tōa Puran","","東亜プラン"
"Tobu Railway","Tōbu Tetsudō Kabushiki-gaisha","TYO: 9001","東武鉄道株式会社"
"Toda Racing","Kabushiki-gaisha Toda Reeshingu","","株式会社戸田レーシング"
"Toei Animation","Tōei Animēshon Kabushiki-gaisha","JASDAQ: 4816","東映アニメーション株式会社"
"Toei Company","Tōei Kabushiki-gaisha","TYO: 9605","東映株式会社"
"Tohatsu","Tōhatsu Kabushiki-gaisha","","トーハツ株式会社"
"Toho","Tōhō Kabushiki-gaisha","TYO: 9602","東宝株式会社"
"Toho Bank","Tōhō Ginkō","TYO: 8346","東邦銀行"
"Tohoku Bank","Tōhoku Ginkō","TYO: 8349","東北銀行"
"Tohoku Electric Power","Tōhoku Denryoku Kabushiki-gaisha","TYO: 9506","東北電力株式会社"
"Tokai Carbon","Tōkai Kābon Kabushiki-gaisha","TYO: 5301","東海カーボン株式会社"
"Tokaido","Tōkaidō","","東海堂"
"Tokio Marine & Nichido Fire Insurance","Tōkyō Kaijō Nichidō Kasai Hoken Kabushiki-gaisha","","東京海上日動火災保険株式会社"
"Tokuyama Corporation","Kabushiki-gaisha Tokuyama","TYO: 4043","株式会社トクヤマ"
"Tokyo Broadcasting System","Kabushiki-gaisha Tōkyō Hōsō","TYO: 9401","株式会社東京放送"
"Tokyo Electric Power","Tōkyō Denryoku Kabushiki-gaisha","TYO: 9501","東京電力株式会社"
"Tokyo Electron","Tōkyō Erekutoron Kabushiki-gaisha'","TYO: 8035","東京エレクトロン株式会社"
"Tokyo Gas","Tōkyō Gasu Kabushiki-gaisha","TYO: 9531","東京瓦斯株式会社"
"Tokyu Corporation","Tōkyō Kyūkō Dentetsu Kabushiki-gaisha","TYO: 9005","東京急行電鉄株式会社"
"Tokyo Tatemono","Tōkyō Tatemōnō Kabushiki-gaisha","TYO: 8804","東京建物株式会社"
"Tokyu Land","Tōkyū Fudōsan","TYO: 8815","東急不動産"
"Tokyo Marui","Kabushiki-gaisha Tōkyō Marui","","株式会社東京マルイ"
"Tokyo Metro","Tōkyō Metoro","","東京メトロ"
"Tombow","Kabushiki-gaisha Tonbo Enpitsu","","株式会社トンボ鉛筆"
"TOM'S","Kabushiki-gaisha Tomusu","","株式会社トムス"
"Tomita Dream Sales","Kabushiki Kaisha Tomita Yume Hanbai","","株式会社トミタ夢販売"
"Tomy","Kabushiki-gaishi Takara Tomī","TYO: 7867","株式会社タカラトミー"
"Topcon","Kabushiki-gaisha Topukon","TYO: 7732","株式会社トプコン"
"Toppan Printing","Toppan Insatsu","TYO: 7911","凸版印刷"
"Toray","Tōre Kabushiki-gaisha","TYO: 3402","東レ株式会社"
"Toshiba","Kabushiki-gaisha Tōshiba","TYO: 6502","株式会社東芝"
"Tosoh","Tōsō Kabushiki-gaisha","TYO: 4042","東ソー株式会社"
"Toto","Tōtō Kabushiki-gaisha","TYO: 5332","TOTO株式会社"
"Toyo Rikagaku Kenkyusho","","","東陽理化学研究所"
"Toyo Seikan Kaisha","Tōyō Seikan","TYO: 5901","東洋製罐"
"Toyo Tire & Rubber Company","Tōyō Gomu Kōgyo Kabushiki-gaisha","TYO: 5105","東洋ゴム工業株式会社"
"Toyobo","Tōyōbōseki Kabushiki-gaisha","TYO: 3101","東洋紡株式会社"
"Toyota","Toyota Jidōsha Kabushiki-gaisha","TYO: 7203","トヨタ自動車株式会社"
"Toyota Boshoku","Toyota Bōshoku Kabushiki-gaisha","TYO: 3116","トヨタ紡織株式会社"
"Toyota Industries","Toyota Jidō Shokki","TYO: 6201","豊田自動織機"
"Toyota Tsusho","Toyota Tsūshō Kabushiki-gaisha","TYO: 8015","豊田通商株式会社"
"Treasure","Kabushiki-gaisha Torejā","","株式会社トレジャー"
"Trend Micro","Torendo Maikuro Kabushiki-gaisha","TYO: 4704","トレンドマイクロ株式会社"
"Trust Company Ltd. known for its GReddy brand","Kabushiki-gaisha Torasuto","","株式会社トラスト"
"Tsubakimoto Chain","Kabushiki-gaisha Tsubakimoto Chiein","TYO: 6371","株式会社椿本チエイン"
"TV Asahi","Kabushiki-gaisha Terebi Asahi","TYO: 9409","株式会社 テレビ朝日"
"TV Tokyo","Kabushiki Gaisha Terebi Tōkyō","TYO: 9411","株式会社テレビ東京"
