"Title","Genre","Publisher(s)","Developer(s)"
"007: Agent Under Fire","First-person Shooter","EA Games","Savage Entertainment"
"007: Everything or Nothing","Third-person Action-adventure/Stealth","EA Games","EA Games"
"007: From Russia with Love","Third-person Action-adventure/Stealth","EA Games","EA Games"
"007: Nightfire","First-person Shooter","EA Games","Eurocom"
"187 Ride or Die","Vehicular Combat","Ubisoft","Ubisoft"
"2002 FIFA World Cup","Soccer","EA Sports","EA Sports"
"25 To Life","Third-person Shooter","Eidos","Avalanche Software, Ritual Entertainment"
"4x4 EVO 2","Racing","Gathering","Terminal Reality"
"50 Cent: Bulletproof","Third-person Shooter","VU Games","Genuine Games"
"Advent Rising","Third-person Shooter","Majesco Entertainment","GlyphX Games"
"Aeon Flux !Æon Flux","Action-adventure","Majesco Entertainment","Terminal Reality"
"AFL Live 2003","Sports","Acclaim","IR Gurus"
"AFL Live 2004","Sports","Acclaim","IR Gurus"
"AFL Live Premiership Edition","Sports / footy","Acclaim","IR Gurus"
"AFL Premiership 2005","Sports / footy","THQ","IR Gurus"
"Aggressive Inline","Extreme sports","Acclaim","Z-Axis"
"Airforce Delta Storm Deadly Skies(PAL) Airforce Delta II(JP)","Flight Simulator","Konami","Konami"
"Alias","Action-adventure","Acclaim","Acclaim"
"Alien Hominid","Side-scrolling Shoot'em up","O~3 Entertainment","The Behemoth"
"Aliens Versus Predator: Extinction","Real-time strategy","EA Games","Zono Incorporated"
"Alfa Romeo Racing Italiano SCAR : Squadra Corse Alfa Romeo(PAL)","Racing","Black Bean Games","Milestone S.r.l."
"All-Star Baseball 2003","Baseball","Acclaim","Acclaim"
"All-Star Baseball 2004","Baseball","Acclaim","Acclaim"
"All-Star Baseball 2005","Baseball","Acclaim","Acclaim"
"Alter Echo","Action-adventure","THQ","Outrage Entertainment"
"America's Army: Rise of a Soldier","Tactical first-person shooter","Ubisoft","Secret Level"
"American Chopper","Sports","Activision","Creat Studios"
"American Chopper 2: Full Throttle","Sports","Activision","Creat Studios"
"AMF Bowling 2004","Bowling","Bethesda Softworks","Mud Duck Productions"
"AMF Xtreme Bowling 2006","Bowling","Bethesda Softworks","Mud Duck Productions"
"Amped: Freestyle Snowboarding Tenku: Freestyle Snowboarding(JP)","Snowboarding","Microsoft Game Studios","Indie Built"
"Amped 2 Tenku 2(JP)","Snowboarding","Microsoft Game Studios","Indie Built"
"AND 1 Streetball","Basketball","Ubisoft","Black Ops Entertainment"
"Angelic Concert","Visual novel","","Success"
"Animaniacs: The Great Edgar Hunt","Platformer","Ignition Entertainment","Warthog Games"
"Antz Extreme Racing","Racing","Empire Interactive","LSP"
"Aoi Namida","Adventure","Panther Software",""
"APEX Racing Evoluzione (PAL)","Racing","Atari","Milestone"
"Aquaman: Battle for Atlantis","Action-adventure","TDK","TDK"
"Arctic Thunder","Racing","Midway Games","Midway Games"
"Area 51","First-person Shooter/Survival horror","Midway","Midway Studios Austin"
"Arena Football","Football","EA Games","EA Tiburon"
"Armed and Dangerous","Third-person Shooter/Action-adventure","LucasArts","Planet Moon Studios"
"Army Men: Major Malfunction","Third-person Shooter","3DO","Global Star Software"
"Army Men: Sarge's War","Third-person Shooter","3DO","Global Star Software"
"Arx Fatalis","First-person Role-playing","JoWood Productions","Arkane Studios"
"Atari Anthology","Arcade Compilations","Atari","Digital Eclipse"
"ATV Quad Power Racing 2","Racing","Acclaim Entertainment","Climax Studios"
"Auto Modellista","Racing","Capcom","Capcom Production Studio 1"
"Avatar: The Last Airbender","Action-adventure","THQ","TOSE"
"Azurik: Rise of Perathia","Action-adventure","Microsoft Game Studios","Adrenium Games"
"Backyard Wrestling: Don't Try This at Home","Wrestling","Eidos Interactive","Paradox Development"
"Backyard Wrestling 2: There Goes the Neighborhood","Wrestling","Eidos Interactive","Paradox Development"
"Bad Boys: Miami Takedown Bad Boys II (PAL)","Third-person Shooter","Empire Interactive","Blitz Games"
"Baldur's Gate: Dark Alliance","Action Role-playing/Hack 'n Slash","Vivendi Universal Games","Snowblind Studios"
"Baldur's Gate: Dark Alliance II","Action Role-playing/Hack 'n Slash","Interplay Entertainment","Black Isle Studios"
"Barbarian","Fighting","Avalon Interactive","Saffire"
"Barbie Horse Adventures: Wild Horse Rescue","Adventure/Racing","Universal Interactive","Universal Interactive"
"Bard's Tale !The Bard's Tale","Action Role-playing","Vivendi Universal Games","InXile Entertainment"
"Bass Pro Shops: Trophy Bass 2007","Fishing simulator","Vivendi Universal","Big John Games"
"Bass Pro Shops: Trophy Hunter 2007","Hunting simulator","Vivendi Universal","Jarhead Games"
"Batman Begins","Action-adventure/Stealth","EA Games","Eurocom"
"Batman: Dark Tomorrow","Action-adventure","Kemco","HotGen"
"Batman: Rise of Sin Tzu","Action-adventure/Beat 'em up","Ubisoft","Ubisoft Montreal"
"Batman Vengeance","Action-adventure","Ubisoft","Ubisoft Montreal"
"Battle Engine Aquila","Mecha simulator","Atari","Lost Toys"
"Battlefield 2: Modern Combat","First-person Shooter","EA Games","EA DICE"
"Battlestar Galactica","Space flight Simulator","Vivendi Universal","Warthog Games"
"Beat Down: Fists of Vengeance","Action Role-playing/Beat 'em up","Capcom","Cavia"
"Beyond Good & Evil","Action-adventure","Ubisoft","Ubisoft Milan"
"Bible Game !The Bible Game","Party Mini-games","Crave Entertainment","Crave Entertainment"
"Bicycle Casino","Gambling","Activision Value","Leaping Lizard"
"Big Bumpin'","Party Mini-games","King Games","Blitz Games"
"Big Mutha Truckers","Racing","THQ","Eutechnyx"
"Big Mutha Truckers 2","Racing","THQ","Empire Interactive"
"Bionicle: The Game","Action-adventure","EA Games","Argonaut Games"
"Bistro Cupid","","Success",""
"Bistro Cupid 2","","Success",""
"Black","First-person Shooter","EA Games","Criterion Games"
"Black Stone: Magic & Steel Ex-Chaser(JP)","Role-playing","Xicat Interactive","XPEC Entertainment"
"Blade II","Action/Beat 'em up","Activision","Mucky Foot Productions"
"Blazing Angels: Squadrons of WWII","Flight Simulator","Ubisoft","Ubisoft Romania"
"Blinx: The Time Sweeper","Action/Platformer","Microsoft Game Studios","Artoon"
"Blinx 2: Masters of Time and Space Blinx 2: Battle of Time and Space(JP)","Action/Platformer","Microsoft Game Studios","Artoon"
"Blitz: The League","American Football","Midway Games","Midway Games"
"Blood Omen 2","Action-adventure","Eidos Interactive","Crystal Dynamics"
"Blood Wake","Vehicular Combat","Microsoft Game Studios","Stormfront Studios"
"BloodRayne","Action/Hack 'n Slash","Majesco Entertainment","Terminal Reality"
"BloodRayne 2","Action/Hack 'n Slash","Majesco Entertainment","Terminal Reality"
"Bloody Roar: Extreme","Fighting","Konami","Hudson Soft"
"BlowOut","Side-scrolling Shoot'em up","Majesco Entertainment","Terminal Reality"
"BMX XXX","Extreme sports","Acclaim Entertainment","Z-Axis"
"Braveknight","Visual novel","Panther Games",""
"Break Nine: World Billiards Tournament","Billiard sports","ASK","ASK"
"Breakdown","First-person Shooter/Action-adventure","Namco","Namco"
"Breeders' Cup World Thoroughbred Championships","","Bethesda","ZeniMax"
"Brian Lara International Cricket 2005","","Codemasters","Codemasters"
"Broken Sword: The Sleeping Dragon","","The Adventure Company","Revolution Software"
"Brothers in Arms: Earned in Blood","","Ubisoft","Gearbox Software"
"Brothers in Arms: Road to Hill 30","","Ubisoft","Gearbox Software"
"Bruce Lee: Quest of the Dragon","","Vivendi","Ronin Entertainment"
"Brute Force","","Microsoft Game Studios","Digital Anvil"
"Buffy the Vampire Slayer","","EA Games","The Collective, Inc."
"Buffy the Vampire Slayer: Chaos Bleeds","","Vivendi","Eurocom"
"Burnout","","Acclaim","Criterion Games"
"Burnout 2: Point of Impact","","Acclaim","Criterion Games"
"Burnout 3: Takedown","","EA Games","Criterion Games"
"Burnout Revenge","","EA Games","Criterion Games"
"C.A.T.: Cyber Attack Team","","Hide","Hide"
"Cabela's Big Game Hunter 2005 Adventures","","Activision","Fun Labs/Sand Grain Studios"
"Cabela's Dangerous Hunts","","Activision","Fun Labs"
"Cabela's Dangerous Hunts 2","","Activision","Sand Grain Studios"
"Cabela's Deer Hunt: 2004 Season","","Activision","Sand Grain Studios"
"Cabela's Deer Hunt: 2005 Season","","Activision","Fun Labs"
"Cabela's Outdoor Adventures","","Activision","Sand Grain Studios"
"Call of Cthulhu: Dark Corners of the Earth","","Bethesda Softworks/2K Games","Headfirst Productions"
"Call of Duty: Finest Hour","","Activision","Spark Unlimited"
"Call of Duty 2: Big Red One","","Activision","Treyarch"
"Call of Duty 3","","Activision","Treyarch, Pi Studios"
"Capcom Classics Collection Vol. 1","","Capcom","Backbone Entertainment"
"Capcom Classics Collection Vol. 2","","Capcom","Backbone Entertainment"
"Capcom Fighting Evolution Capcom Fighting Jam(PAL/JP)","","Capcom","Capcom Production Studio 2"
"Capcom vs. SNK 2 EO","","Capcom","Capcom Production Studio 1"
"Carmen Sandiego: The Secret of the Stolen Drums","","BAM! Entertainment","A2M"
"Cars","","THQ","Rainbow Studios"
"Carve","","Global Star Software","Argonaut Games"
"Castlevania: Curse of Darkness Akumajo Dracula: Yami no Juin(JP)","","Konami","Konami"
"Catwoman","","EA Games","Argonaut Games"
"Cel Damage","","EA Games","Pseudo Interactive"
"Celebrity Deathmatch","","Gotham Games","Big Ape Productions"
"Championship Bowling","","Evolved Games","Black Market Games"
"Championship Manager: Season 01/02","","Eidos Interactive","Sports Interactive"
"Championship Manager: Season 02/03","","Eidos Interactive","Sports Interactive"
"Championship Manager 2006","","Eidos Interactive","Gusto Games"
"Championship Manager 5","","Eidos Interactive","Gusto Games"
"Charlie and the Chocolate Factory","","Global Star Software","High Voltage Software"
"Chase: Hollywood Stunt Driver","","BAM! Entertainment","I-Imagine"
"Chessmaster 10th Edition","","Ubisoft","Ubisoft"
"Chicago Enforcer","","Kemco","Touchdown"
"Chicken Little","","Buena Vista Games","Avalanche Software"
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe !The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","","Buena Vista Games","Traveller's Tales"
"Chronicles of Riddick: Escape from Butcher Bay !The Chronicles of Riddick: Escape from Butcher Bay","","Vivendi Games","Starbreeze Studios, Tigon Studios"
"Circus Maximus: Chariot Wars","","Encore","Kodiak Interactive"
"Classified: The Sentinel Crisis","","Global Star Software","Torus Games"
"Close Combat: First to Fight","","2K Games","Destineer"
"Club Football: Ajax","","Codemasters","Codemasters"
"Club Football: Arsenal","","Codemasters","Codemasters"
"Club Football: Aston Villa","","Codemasters","Codemasters"
"Club Football: Barcelona","","Codemasters","Codemasters"
"Club Football: Bayern Munich","","Codemasters","Codemasters"
"Club Football: Borussia Dortmund","","Codemasters","Codemasters"
"Club Football: Celtic","","Codemasters","Codemasters"
"Club Football: Chelsea","","Codemasters","Codemasters"
"Club Football: Hamburger","","Codemasters","Codemasters"
"Club Football: Inter Milan","","Codemasters","Codemasters"
"Club Football: Juventus","","Codemasters","Codemasters"
"Club Football: Leeds United","","Codemasters","Codemasters"
"Club Football: Liverpool","","Codemasters","Codemasters"
"Club Football: Manchester United","","Codemasters","Codemasters"
"Club Football: Milan","","Codemasters","Codemasters"
"Club Football: Rangers","","Codemasters","Codemasters"
"Club Football: Real Madrid","","Codemasters","Codemasters"
"Club Football 2005: Ajax","","Codemasters","Codemasters"
"Club Football 2005: Arsenal","","Codemasters","Codemasters"
"Club Football 2005: Aston Villa","","Codemasters","Codemasters"
"Club Football 2005: Barcelona","","Codemasters","Codemasters"
"Club Football 2005: Bayern Munich","","Codemasters","Codemasters"
"Club Football 2005: Birmingham City","","Codemasters","Codemasters"
"Club Football 2005: Borussia Dortmund","","Codemasters","Codemasters"
"Club Football 2005: Celtic","","Codemasters","Codemasters"
"Club Football 2005: Chelsea","","Codemasters","Codemasters"
"Club Football 2005: Hamburger","","Codemasters","Codemasters"
"Club Football 2005: Inter Milan","","Codemasters","Codemasters"
"Club Football 2005: Juventus","","Codemasters","Codemasters"
"Club Football 2005: Liverpool","","Codemasters","Codemasters"
"Club Football 2005: Manchester United","","Codemasters","Codemasters"
"Club Football 2005: Milan","","Codemasters","Codemasters"
"Club Football 2005: Newcastle United","","Codemasters","Codemasters"
"Club Football 2005: Olympique de Marseille","","Codemasters","Codemasters"
"Club Football 2005: Paris Saint-Germain","","Codemasters","Codemasters"
"Club Football 2005: Rangers","","Codemasters","Codemasters"
"Club Football 2005: Real Madrid","","Codemasters","Codemasters"
"Club Football 2005: Tottenham Hotspur","","Codemasters","Codemasters"
"Codename: Kids Next Door - Operation: V.I.D.E.O.G.A.M.E.","","Global Star Software","High Voltage Software"
"Cold Fear","","Ubisoft","Darkworks"
"Cold War","","DreamCatcher Games","Mindware Studios"
"Colin McRae Rally 04","","Codemasters","Codemasters"
"Colin McRae Rally 2005","","Codemasters","Codemasters"
"Colin McRae Rally 3","","Codemasters","Codemasters"
"College Hoops 2K6","","2K Sports","Visual Concepts"
"College Hoops 2K7","","2K Sports","Visual Concepts"
"Combat Elite: WWII Paratroopers","","SouthPeak Games","BattleBorne Entertainment"
"Combat: Task Force 121","","Groove Games","Direct Action"
"Commandos: Strike Force","","Eidos Interactive","Pyro Studios"
"Commandos 2: Men of Courage","","Eidos Interactive","Pyro Studios"
"Conan","","TDK Mediactive","Cauldron HQ"
"Conflict: Desert Storm","","SCi","Pivotal Games"
"Conflict: Desert Storm II: Back to Baghdad","","SCi","Pivotal Games"
"Conflict: Global Terror","","SCi / 2K Games","Pivotal Games"
"Conflict: Vietnam","","Eidos Interactive","Pivotal Games"
"Conker: Live & Reloaded","","Microsoft Game Studios","Rare"
"Conspiracy: Weapons of Mass Destruction","","Oxygen Interactive","Kuju Entertainment"
"Constantine","","THQ","Bits Studios"
"Corvette","","TDK Mediactive","Steel Monkeys"
"Counter-Strike","","Microsoft Game Studios","Valve Corporation"
"Crash Bandicoot: The Wrath of Cortex","","Universal Interactive Studios","Traveller's Tales"
"Crash 'n' Burn","","Eidos Interactive","Climax"
"Crash Nitro Kart","","Universal Interactive","Vicarious Visions"
"Crash Tag Team Racing","","Sierra Entertainment","Radical Entertainment"
"Crash Twinsanity","","Vivendi Universal Games","Traveller's Tales"
"Crazy Taxi 3: High Roller","","Sega","Hitmaker"
"Cricket 2005","","EA Games","HB Studios"
"Crime Life: Gang Wars","","Konami","Hothouse Creations"
"Crimson Sea","","Koei","Koei"
"Crimson Skies: High Road to Revenge","","Microsoft Game Studios","FASA Interactive"
"Crouching Tiger, Hidden Dragon","","Ubisoft","Bergsala Lightweight"
"Crusty Demons","","SouthPeak Games","Evolved Games, Climax"
"CSI: Crime Scene Investigation","","Ubisoft","369 Interactive"
"Curious George","","Namco","Monkey Bar Games"
"Curse: The Eye of Isis","","DreamCatcher Interactive","Asylum Entertainment"
"Da Vinci Code !The Da Vinci Code","","2K Games","The Collective, Inc."
"Daemon Vector","","XPEC Entertainment","XPEC Entertainment"
"Dai Senryaku VII: Modern Military Tactics Daisenryaku VII","","Kemco","SystemSoft"
"Dakar 2: The World's Ultimate Rally","","Acclaim","Acclaim"
"Dance Dance Revolution Ultramix","","Konami","Konami"
"Dance Dance Revolution Ultramix 2","","Konami","Konami"
"Dance Dance Revolution Ultramix 3","","Konami","Konami"
"Dance Dance Revolution Ultramix 4","","Konami","Konami"
"Dance: UK","Music/Rhythm","Big Ben Interactive","Broadsword Interactive"
"Dancing Stage Unleashed","","Konami","Konami"
"Dancing Stage Unleashed 2","","Konami","Konami"
"Dancing Stage Unleashed 3","","Konami","Konami"
"Dark Summit","","THQ","Radical Entertainment"
"Darkwatch","","Capcom","High Moon Studios"
"Dave Mirra Freestyle BMX 2","","Acclaim","Z-Axis Ltd."
"David Beckham Soccer","","Rage Software Limited","Rage Software Limited"
"Dead Man's Hand","","Atari","Human Head Studios"
"Dead or Alive 3","","Tecmo","Team Ninja"
"Dead or Alive Ultimate","","Tecmo","Team Ninja"
"Dead or Alive Xtreme Beach Volleyball","","Tecmo","Team Ninja"
"Dead to Rights","","Namco","Namco"
"Dead to Rights II","","Namco","Widescreen Games"
"Deathrow","","Ubisoft","Southend Interactive"
"Def Jam: Fight for NY","","EA Games","AKI Corporation, EA Canada"
"Defender","","Midway Games","7 Studios"
"Delta Force: Black Hawk Down","","NovaLogic","VU Games, Climax"
"Dennou Taisen: DroneZ","","Metro 3D","Zetha GameZ"
"Destroy All Humans!","","THQ","Pandemic Studios"
"Destroy All Humans! 2","","THQ","Pandemic Studios"
"Deus Ex: Invisible War","","Eidos Interactive","Ion Storm Inc."
"Die Hard: Vendetta","","VU Games, Fox Interactive","Bits Studios"
"Digimon Rumble Arena 2","","Bandai","Bandai"
"Digimon World 4 Dejimon Warudo X (JP)","","Atari","Bandai"
"Dino Crisis 3","","Capcom","Capcom"
"Dinosaur Hunting","","Metro 3D","Scarab"
"Dinotopia: The Sunstone Odyssey","","TDK Mediactive","Vicious Cycle"
"Disney's Extreme Skate Adventure","","Activision","Toys for Bob"
"Doom 3","","Activision","id Software, Vicarious Visions"
"Doom 3: Resurrection of Evil","","Activision","id Software"
"Double-S.T.E.A.L. - The Second Clash","","Microsoft Game Studios","Bunkasha Publishing"
"Dr. Muto","","Midway Games","Midway Games"
"Dr. Seuss' The Cat in the Hat","","VU Games","Magenta Software"
"Dragon Ball Z: Sagas","","Atari","Avalanche Software"
"Dragon's Lair 3D: Return to the Lair","","Ubisoft","Dragonstone Software"
"Drake of the 99 Dragons","","Majesco","Idol FX"
"Dreamfall: The Longest Journey","","Aspyr Media","Funcom"
"Drihoo","Adventure","Highwaystar","Highwaystar"
"Drive to Survive Mashed: Drive to Survive","","Empire Interactive","Codemasters"
"DRIV3R","","Atari","Reflections Interactive"
"Driver: Parallel Lines","","Atari","Reflections Interactive"
"Dukes of Hazzard: Return of the General Lee !The Dukes of Hazzard: Return of the General Lee","","Ubisoft","Ratbag"
"Dungeons & Dragons: Heroes","","Atari","Atari"
"Dynasty Warriors 3 Shin Sangokumusou 2(JP)","","Koei","Omega Force"
"Dynasty Warriors 4 Shin Sangokumusou 3(JP)","","Koei","Omega Force"
"Dynasty Warriors 5 Shin Sangokumusou 4(JP)","","Koei","Omega Force"
"Ed, Edd n Eddy: The Mis-Edventures","","Midway Games","Artificial Mind and Movement"
"Egg Mania: Eggstreme Madness","","Kemco","HotGen"
"Elder Scrolls III: Morrowind !The Elder Scrolls III: Morrowind","","Bethesda Softworks","Bethesda Softworks"
"Enclave","","Conspiracy Entertainment","Starbreeze"
"England International Football","","Codemasters","Codemasters"
"Enter the Matrix","","Atari","Shiny"
"Eragon","","Vivendi Games","Stormfront Studios"
"ESPN College Hoops","","Sega","Visual Concepts"
"ESPN College Hoops 2K5","","Sega","Visual Concepts"
"ESPN International Winter Sports 2002","","Konami","Konami"
"ESPN Major League Baseball","","Sega","Blue Shift"
"ESPN MLS ExtraTime 2002","","Konami","KCEA"
"ESPN NBA 2K5","","Sega","Visual Concepts"
"ESPN NBA 2Night 2002","","Konami","Konami"
"ESPN NBA Basketball","","Sega","Visual Concepts"
"ESPN NFL 2K5","","Sega","Visual Concepts"
"ESPN NFL Football","","Sega","Visual Concepts"
"ESPN NFL PrimeTime 2002","","Konami","Farsight Technologies"
"ESPN NHL 2K5","","Sega","Kush Games"
"ESPN NHL Hockey","","Sega","Kush Games"
"ESPN Winter X-Games Snowboarding 2002","","Konami","Konami"
"Evil Dead: A Fistful of Boomstick","","THQ","VIS Entertainment"
"Evil Dead: Regeneration","","THQ","Cranky Pants Games"
"ExaSkeleton","","Kiki Co.","Kiki Co."
"Exhibition: Volume 1","","Microsoft Game Studios","Various"
"Exhibition: Volume 2","","Microsoft Game Studios","Various"
"Exhibition: Volume 3","","Microsoft Game Studios","Various"
"Exhibition: Volume 4","","Microsoft Game Studios","Various"
"Exhibition: Volume 5","","Microsoft Game Studios","Various"
"Exhibition: Volume 6","","Microsoft Game Studios","Various"
"Exhibition: Volume 7","","Microsoft Game Studios","Various"
