"Max depth (ft)","Nearby town","Water clarity (ft)","Littoral zone (acres)","Size (acres)","Lake","County"
"16","Millerville","8","417","545","Aaron","Douglas"
"7","Detroit Lakes","N/A","269","269","Abbey","Becker"
"55","Frazee","9.4","51","154","Acorn","Becker"
"60","Backus","15","424","974","Ada","Cass"
"12","Atwood","7","5","5","Adelman's Pond","Hennepin"
"20","Parkers Prairie","2.6","238","239","Adley","Otter Tail"
"30","Ely","7","453","984","Agnes","St. Louis"
"10,12,12,20,20,20","","5,6,6,10,10,10","2,2,2,19,39,37","2,2,2,19,39,37","Airport Pond 1,2,3,4,5,6",""
"35","Libby","6.3","453","487","Aitkin","Aitkin"
"6","Albert Lea","1","2654","2654","Albert Lea","Freeborn"
"29","Duluth","6.2","159","180","Alden (Big)","St. Louis"
"64","Randall","10.9","842","2708.72","Alexander","Morrison"
"21","Lake George","6.5","96","121","Alice","Hubbard"
"53","Ely","12","438","1566","Alice","Lake"
"12","Buffalo Lake","1.5","451","451","Allie","Renville"
"19","Fairmont","1.3","108","182.09","Amber","Martin"
"69","Villard","9.5","370","910","Amelia","Pope"
"75","Deer River","11","107","198","Amen","Itasca"
"18","Kettle Falls","8","77","100","Amundsen","St. Louis"
"10","Bloomington","5","12","12","Ancel's Glen","Hennepin"
"110","Bigfork","9","71","274","Anderson","Itasca"
"14","Dassel","7","13","13","Anderson","Meeker"
"83","Alexandria","11.5","331","946","Andrew","Douglas"
"26","New London","13.7","293","814","Andrew","Kandiyohi"
"60","Cass Lake","10","423","1510","Andrusia","Beltrami"
"45","Chanhassen","5.5","45","110.04","Ann","Carver"
"17","Ogilve","3.2","600","653","Ann","Kanabec"
"14","Glenwood","6.4","356","356","Ann","Pope"
"26","Zimmerman","11.5","138","184","Ann","Sherburne"
"19","Emily","12","102","122","Anna","Crow Wing"
"55","Underwood","5.6","373","538","Anna","Otter Tail"
"51","Battle Lake","14.5","150","334","Annie Battle","Otter Tail"
"90","Bigfork","17","76.5","306","Antler","Itasca"
"37","Prairie Portage","13","7","21","Arkose","Lake"
