"Industry","Company","Revenue (billion $)","Profits (billion $)","Headquarters","Assets (billion $)","Market value (billion $)"
"Oil and gas","Statoil","111.6","13.1","23x15px Stavanger, Norway","127.8","81.4"
"Banking","Nordea","21.7","3.4","23x15px Stockholm, Sweden","933.8","39.7"
"Transportation","A.P. Møller-Maersk","56.1","2.6","23x15px Copenhagen, Denmark","69.8","33.7"
"Automotive","Volvo","45.0","2.6","23x15px Gothenburg, Sweden","49.7","30.2"
"Telecommunication","Ericsson","32.9","1.8","23x15px Stockholm, Sweden","39.0","39.8"
"Diversified financial","DNB","11.6","2.2","23x15px Oslo, Norway","356.1","21.1"
"Banking","SEB","13.5","1.6","23x15px Stockholm, Sweden","344.5","19.2"
"Banking","Handelsbanken","10.9","1.8","23x15px Stockholm, Sweden","358.0","23.2"
"Telecommunications","TeliaSonera","15.1","2.7","23x15px Stockholm, Sweden","35.9","30.0"
"Banking","Swedbank","10.3","1.7","23x15px Stockholm, Sweden","270.8","19.1"
"Telecommunication","Telenor","16.4","1.3","23x15px Fornebu, Norway","27.8","33.9"
"Utilities","Fortum","3.9","0.9","23x15px Espoo, Finland","29.7","16.8"
"Health care","Novo Nordisk","11.6","3.0","23x15px Copenhagen, Denmark","10.9","90.3"
"Retailing","H&M","16.3","2.3","23x15px Stockholm, Sweden","8.7","61.6"
"Banking","Danske Bank","20.0","0.3","23x15px Copenhagen, Denmark","597.8","15.8"
"Insurance","Sampo Group","7.2","1.3","23x15px Helsinki, Finland","38.3","16.3"
"Industrial","Norsk Hydro","16.3","1.1","23x15px Oslo, Norway","22.2","11.7"
"Capital goods","Atlas Copco","13.6","0.8","23x15px Stockholm, Sweden","14.4","19.0"
"Brewery","Carlsberg Group","11.1","0.9","23x15px Copenhagen, Denmark","25.6","12.8"
"Technology","Nokia","50.1","-1.5","23x15px Espoo, Finland","44.6","19.6"
"Chemical industry","Yara International","13.0","2.0","23x15px Oslo, Norway","12.1","13.3"
"Capital goods","Sandvik","13.6","0.8","23x15px Sandviken, Sweden","14.4","19.0"
"Construction","Skanska","17.2","1.1","23x15px Stockholm, Sweden","11.8","7.5"
"Materials","UPM-Kymmene","13.0","0.6","23x15px Helsinki, Finland","19.3","7.2"
"Manufacturing","SKF","9.6","0.9","23x15px Gothenburg, Sweden","8.5","11.5"
"Manufacturing","Stora Enso","14.2","0.4","23x15px Helsinki, Finland","16.7","6.0"
"Consumer Goods","Svenska Cellulosa Aktiebolaget","11.8","0.1","23x15px Stockholm, Sweden","20.2","12.5"
"Engineering","Kone","9.5","1.2","23x15px Espoo, Finland","8.4","14.9"
"Manufacturing","Electrolux","14.7","0.3","23x15px Stockholm, Sweden","10.7","6.8"
"Manufacturing","Assa Abloy","6.1","0.6","23x15px Stockholm, Sweden","8.1","11.2"
"Diversified financials","Investor","2.8","-1.3","23x15px Stockholm, Sweden","31.2","17.0"
"Telecommunications","Tele2","5.9","0.7","23x15px Stockholm, Sweden","6.4","8.6"
"Capital goods","Metso","8.6","0.5","23x15px Helsinki, Finland","8.4","7.3"
"Durable goods","Autoliv","8.2","0.6","23x15px Stockholm, Sweden","6.1","6.2"
"Media","Orkla Group","10.2","-0.1","23x15px Oslo, Norway","11.1","8.2"
"Investment","Kinnevik","1.3","1.0","23x15px Stockholm, Sweden","10.2","6.3"
"Insurance","Storebrand","5.6","0.1","23x15px Oslo, Norway","67.2","2.4"
"Telecommunications","TDC A/S","4.6","0.5","23x15px Copenhagen, Denmark","11.4","6.0"
"Financial Services","OP-Pohjola Group","4.9","0.3","23x15px Helsinki, Finland","53.3","3.7"
"Engineering","Aker Solutions","6.1","0.9","23x15px Oslo, Norway","5.6","4.5"
"Insurance","Gjensidige","3.6","0.5","23x15px Oslo, Norway","14.7","5.9"
"Investment","L E Lundbergföretagen","3.3","0.7","23x15px Stockholm, Sweden","12.5","4.2"
"Manufacturing","Alfa Laval","4.2","0.5","23x15px Lund, Sweden","4.8","8.7"
"Oil Refining","Neste Oil","20.0","0.2","23x15px Espoo, Finland","9.4","3.1"
"Manufacturing","Wärtsilä","5.6","0.6","23x15px Helsinki, Finland","5.8","7.2"
"Mining","Boliden AB","5.8","0.5","23x15px Stockholm, Sweden","5.5","4.6"
"Banking","Jyske Bank","1.6","0.1","23x15px Silkeborg, Denmark","47.2","2.4"
"Tobacco","Swedish Match","1.7","0.4","23x15px Stockholm, Sweden","2.1","8.1"
"Technology","Hexagon AB","2.8","0.4","23x15px Stockholm, Sweden","6.8","7.0"
"Manufacturing","Nokian Tyres","1.9","0.4","23x15px Nokia, Finland","2.4","6.4"
"Retail","Kesko","12.3","0.2","23x15px Helsinki, Finland","5.4","3.2"
"Health Care","Novozymes","1.8","0.3","23x15px Copenhagen, Denmark","2.4","7.9"
"Banking","Sydbank","1.0","0.0","23x15px Aabenraa, Denmark","26.8","1.4"
"Medical Technology","Getinge Group","3.2","0.4","23x15px Getinge, Sweden","6.0","6.6"
"Medical Equipment","Coloplast","1.8","0.3","23x15px Copenhagen, Denmark","1.6","7.3"
"Manufacturing","Vestas","7.6","-0.2","23x15px Aarhus, Denmark","9.6","2.3"
